PGM_SYS_ID,ACTIVITY_ID,STATE_EPA_FLAG,ACTIVITY_TYPE_CODE,ACTIVITY_TYPE_DESC,COMP_MONITOR_TYPE_CODE,COMP_MONITOR_TYPE_DESC,ACTUAL_END_DATE,PROGRAM_CODES,ACTIVITY_PURPOSE_DESC
NY0000001282000947,3400605923,S,INS,Inspection/Evaluation,PFF,PCE Off-Site,1010-10-28,NA,Core Program
NY0000001472801386,3400591413,S,INS,Inspection/Evaluation,PFF,PCE Off-Site,1010-01-15,NA,Core Program
NY0000005534400001,3400674765,S,INS,Inspection/Evaluation,PFF,PCE Off-Site,1012-01-31,NA,Core Program
NC0000003703300150,3604116591,S,INS,Inspection/Evaluation,FOO,FCE On-Site,204-09-26,NA,NA
IN0000001801700028,3604425705,S,INS,Inspection/Evaluation,FOO,FCE On-Site,25-06-04,NA,NA
MO0000002903700047,3604625617,S,INS,Inspection/Evaluation,FOO,FCE On-Site,202-10-22,NA,NA
NC0000003703600124,3601645059,S,INS,Inspection/Evaluation,PFF,PCE Off-Site,217-02-15,NA,NA
CASCA00006071CA063,3602405550,L,INS,Inspection/Evaluation,PCE,PCE On-Site,1320-03-02,NA,NA
AR0000000513100216,3602391474,S,INS,Inspection/Evaluation,FOO,FCE On-Site,221-01-13,NA,NA
NC0000003704700001,3601724597,S,INS,Inspection/Evaluation,FOO,FCE On-Site,201-01-11,NA,NA
NY0000003335200145,3601279557,S,INS,Inspection/Evaluation,PFF,PCE Off-Site,1017-10-25,NA,NA
MA0000002504200190,3603661115,S,INS,Inspection/Evaluation,PFF,PCE Off-Site,223-06-05,NA,NA
AR0000000577700233,3603002241,S,INS,Inspection/Evaluation,FOO,FCE On-Site,222-02-22,NA,NA
AR0000000503100469,3604012391,S,INS,Inspection/Evaluation,FOO,FCE On-Site,202-06-12,NA,NA
NC0000003705900069,3601652189,S,INS,Inspection/Evaluation,PCE,PCE On-Site,217-08-22,NA,NA
IL000031600FES,3601478184,S,INS,Inspection/Evaluation,PFF,PCE Off-Site,208-04-30,NA,NA
AR0000000513100427,3603018487,S,INS,Inspection/Evaluation,FOO,FCE On-Site,222-02-22,NA,NA
IL000043467ABA,3600718154,S,INS,Inspection/Evaluation,FOO,FCE On-Site,1016-04-22,NA,NA
