year,n_inspections
1900,1
1916,1
1957,1
1960,1
1962,1
1965,2
1972,1
1973,6
1974,13
1975,81
1976,196
1977,692
1978,655
1979,1101
1980,1967
1981,2616
1982,3221
1983,6633
1984,8178
1985,9700
1986,12204
1987,12564
1988,13801
1989,13715
1990,14106
1991,12285
1992,13788
1993,15802
1994,16673
1995,19090
1996,20531
1997,22875
1998,25229
1999,27788
2000,31323
2001,33950
2002,55249
2003,64429
2004,65517
2005,67439
2006,76506
2007,78179
2008,75272
2009,75180
2010,73194
2011,70749
2012,70789
2013,67332
2014,65041
2015,56641
2016,55557
2017,49432
2018,48658
2019,50113
2020,46936
2021,48519
2022,47972
2023,46825
2024,45956
2025,43950
2026,15800
