ACTIVITY_PURPOSE_DESC,n,pct
Core Program,1063890,59
NA,716927,39.8
Selected Monitoring Action,10380,0.6
Agency Priority,5357,0.3
Oversight,2128,0.1
Citizen Complaint/Tip,1779,0.1
Case Development,1134,0.1
Random Inspection,223,0
Other,99,0
Result of Spill,47,0
Applicability Determination,35,0
For Cause,28,0
Referral Inspection,7,0
Performance Test Demonstrating Compliance (National Reporting),4,0
SIP Compliance Tests (State Only Rules),3,0
Termination,2,0
Testing to Develop and Evaluate Alternative Test Methods,1,0
