PROGRAM_CODES,n,pct
NA,748133,41.5
CAASIP,310037,17.2
CAATVP,114039,6.3
"CAASIP, CAATVP",81927,4.5
"CAANSPS, CAASIP",72111,4
"CAAMACT, CAANSPS, CAASIP",54667,3
"CAAMACT, CAANSPS, CAASIP, CAATVP",47142,2.6
"CAAMACT, CAASIP",46544,2.6
"CAAMACT, CAASIP, CAATVP",35525,2
"CAANSPS, CAASIP, CAATVP",26553,1.5
CAANSPS,18124,1
"CAAFESOP, CAASIP",16066,0.9
CAAMACT,15261,0.8
"CAAMACT, CAANSPS, CAAPSD, CAASIP, CAATVP",14976,0.8
CAAFESOP,13277,0.7
"CAAMACT, CAANESH, CAANSPS, CAASIP, CAATVP",10081,0.6
"CAAMACT, CAANESH, CAANSPS, CAAPSD, CAASIP, CAATVP",6807,0.4
"CAANSPS, CAAPSD, CAASIP, CAATVP",6631,0.4
"CAANSPSM, CAASIP",6628,0.4
"CAAGACTM, CAASIP",6582,0.4
"CAAFESOP, CAANSPS, CAASIP",5063,0.3
"CAAMACT, CAAPSD, CAASIP, CAATVP",4851,0.3
"CAAGACTM, CAANSPSM, CAASIP",4684,0.3
"CAAPSD, CAASIP, CAATVP",4237,0.2
CAANSPSM,4103,0.2
"CAANSPS, CAATVP",3902,0.2
"CAAMACT, CAATVP",3140,0.2
"CAACFC, CAAMACT, CAANSPS, CAAPARGDC, CAASIP, CAATVP",2971,0.2
"CAAFESOP, CAAMACT, CAASIP",2970,0.2
CAANESH,2881,0.2
CAAGACTM,2551,0.1
"CAAGACTM, CAANSPS, CAASIP",2356,0.1
"CAACFC, CAAMACT, CAAPARGDC, CAASIP, CAATVP",2251,0.1
"CAAMACT, CAANESH, CAANSPS, CAASIP",2052,0.1
"CAANESH, CAANSPS, CAASIP, CAATVP",2049,0.1
"CAAAR, CAANSPS, CAASIP, CAATVP",1984,0.1
"CAAMACT, CAANSPS, CAANSR, CAASIP, CAATVP",1800,0.1
"CAAAR, CAACFC, CAANSPS, CAAPARGDC, CAASIP, CAATVP",1692,0.1
"CAAMACT, CAANSPS, CAATVP",1636,0.1
"CAAMACT, CAANESH, CAASIP, CAATVP",1576,0.1
CAANSR,1570,0.1
"CAAMACT, CAANESH, CAANSPS, CAATVP",1551,0.1
"CAAGACTM, CAAMACT, CAANSPS, CAASIP, CAATVP",1526,0.1
"CAAPSD, CAASIP",1526,0.1
"CAACFC, CAAPARGDC, CAASIP, CAATVP",1520,0.1
"CAAAR, CAAMACT, CAANSPS, CAAPSD, CAASIP, CAATVP",1484,0.1
"CAAMACT, CAANSPS, CAANSR, CAAPSD, CAASIP, CAATVP",1439,0.1
"CAAAR, CAANSPS, CAAPSD, CAASIP, CAATVP",1417,0.1
"CAAFESOP, CAAMACT, CAANSPS, CAASIP",1404,0.1
"CAAMACT, CAANSPS",1397,0.1
CAAPSD,1389,0.1
"CAAGACTM, CAAMACT, CAANSPS, CAASIP",1367,0.1
"CAACFC, CAANSPS, CAAPARGDC, CAASIP, CAATVP",1344,0.1
CAAOP,1318,0.1
"CAAFESOP, CAANSR, CAASIP",1316,0.1
"CAAGACTM, CAANSPS, CAASIP, CAATVP",1238,0.1
CAACFC,1190,0.1
"CAACFC, CAAGACTM, CAAMACT, CAANSPS, CAAPARGDC, CAASIP, CAATVP",1184,0.1
"CAAMACT, CAANSPS, CAANSR, CAAPSD, CAATVP",1183,0.1
"CAANSR, CAASIP",1162,0.1
"CAAAR, CAACFC, CAAMACT, CAANSPS, CAAPARGDC, CAASIP, CAATVP",1121,0.1
"CAAFESOP, CAAGACTM, CAANSR",1042,0.1
"CAACFC, CAAGACTM, CAANSPS, CAAPARGDC, CAASIP, CAATVP",1024,0.1
"CAANSPS, CAANSR, CAASIP, CAATVP",1020,0.1
"CAACFC, CAANSPS, CAAPARGDC, CAAPSD, CAASIP, CAATVP",1018,0.1
"CAAFESOP, CAANSPS",1010,0.1
"CAAMACT, CAANSR, CAASIP, CAATVP",989,0.1
"CAANSR, CAASIP, CAATVP",989,0.1
"CAAFESOP, CAAPSD, CAASIP",964,0.1
"CAANSPS, CAAPSD, CAASIP",952,0.1
"CAACFC, CAAMACT, CAANSPS, CAANSR, CAAPARGDC, CAASIP, CAATVP",929,0.1
"CAAAR, CAACFC, CAAMACT, CAANSPS, CAANSR, CAAPARGDC, CAASIP, CAATVP",903,0.1
CAANFRP,895,0
"CAANESH, CAASIP",836,0
"CAAFESOP, CAANSPSM, CAASIP",829,0
"CAACFC, CAAMACT, CAANSPS, CAANSR, CAAPARGDC, CAAPSD, CAASIP, CAATVP",823,0
"CAAAR, CAASIP, CAATVP",816,0
"CAAFESOP, CAAMACT, CAANSR, CAASIP",789,0
"CAACFC, CAAMACT, CAANESH, CAANSPS, CAAPARGDC, CAASIP, CAATVP",781,0
"CAAMACT, CAANSPS, CAAPSD, CAASIP",781,0
"CAAFESOP, CAAMACT, CAANSPS",763,0
"CAAAR, CAAMACT, CAANSPS, CAASIP, CAATVP",653,0
"CAAMACT, CAANSPS, CAAPSD, CAATVP",643,0
"CAANSPS, CAAPSD, CAATVP",577,0
"CAANESH, CAASIP, CAATVP",576,0
"CAAGACTM, CAASIP, CAATVP",546,0
"CAANSPS, CAANSR, CAASIP",528,0
"CAAGACTM, CAAMACT, CAANSPS, CAAPSD, CAASIP, CAATVP",522,0
"CAAFESOP, CAAMACT",509,0
"CAACFC, CAAGACTM, CAANSR, CAAPARGDC, CAASIP, CAATVP",505,0
"CAANSPS, CAANSR, CAAPSD, CAASIP, CAATVP",486,0
"CAACFC, CAANSPS, CAANSR, CAAPARGDC, CAAPSD, CAASIP, CAATVP",484,0
"CAACFC, CAAGACTM, CAAMACT, CAANSPS, CAANSR, CAAPARGDC, CAASIP, CAATVP",481,0
"CAAMACT, CAANESH, CAASIP",465,0
"CAAFESOP, CAAGACTM, CAANSPSM, CAASIP",463,0
CAAFIP,455,0
"CAAGACTM, CAAMACT, CAASIP",451,0
"CAAAR, CAACFC, CAANSPS, CAAPARGDC, CAAPSD, CAASIP, CAATVP",443,0
"CAAAR, CAACFC, CAANSPS, CAANSR, CAAPARGDC, CAAPSD, CAASIP, CAATVP",435,0
"CAAGACTM, CAAMACT, CAASIP, CAATVP",434,0
"CAAFESOP, CAAGACTM, CAASIP",429,0
"CAAFESOP, CAASIP, CAATVP",419,0
"CAAAR, CAACFC, CAAMACT, CAANSPS, CAANSR, CAAPARGDC, CAAPSD, CAASIP, CAATVP",413,0
"CAANSR, CAAPSD, CAASIP, CAATVP",413,0
"CAANESH, CAANSPS, CAASIP",400,0
"CAAAR, CAANSPS, CAATVP",399,0
"CAACFC, CAAMACT, CAANESH, CAANSPS, CAANSR, CAAPARGDC, CAASIP, CAATVP",384,0
"CAAAR, CAACFC, CAAGACTM, CAAMACT, CAANSPS, CAANSR, CAAPARGDC, CAAPSD, CAASIP, CAATVP",381,0
"CAAMACT, CAANSPSM, CAASIP",375,0
"CAAFESOP, CAATVP",372,0
"CAAAR, CAACFC, CAAMACT, CAANSR, CAAPARGDC, CAASIP, CAATVP",371,0
CAAPARGDC,371,0
"CAAFESOP, CAANSPS, CAANSR, CAASIP",353,0
"CAAPSD, CAATVP",351,0
"CAANESH, CAANSPS, CAAPSD, CAASIP, CAATVP",350,0
"CAAFESOP, CAANSR",333,0
"CAAMACT, CAANSR, CAASIP",330,0
"CAACFC, CAAMACT, CAANSR, CAAPARGDC, CAASIP, CAATVP",326,0
"CAAMACT, CAAPSD, CAASIP",322,0
"CAAMACT, CAANSPS, CAANSR, CAATVP",319,0
"CAACFC, CAAGACTM, CAAMACT, CAANSPS, CAANSR, CAAPARGDC, CAAPSD, CAASIP, CAATVP",316,0
CAASO,314,0
"CAAMACT, CAANESH, CAATVP",313,0
"CAACFC, CAAMACT, CAANSPS, CAAPARGDC, CAAPSD, CAASIP, CAATVP",305,0
"CAAAR, CAACFC, CAAMACT, CAANSPS, CAAPARGDC, CAAPSD, CAASIP, CAATVP",304,0
"CAACFC, CAAGACTM, CAAPARGDC, CAASIP, CAATVP",297,0
"CAANESH, CAANSPS, CAATVP",297,0
CAAIRM,295,0
"CAAMACT, CAANSPS, CAARMP, CAASIP, CAATVP",293,0
"CAANESH, CAANSPS, CAAPSD, CAASIP",293,0
"CAAFESOP, CAAMACT, CAANSPS, CAAPSD, CAASIP",285,0
"CAAMACT, CAAPSD, CAATVP",284,0
"CAAMACT, CAANESH",279,0
"CAAFENF, CAANESH, CAASIP, CAATVP",277,0
"CAAAR, CAAPSD, CAASIP, CAATVP",273,0
"CAAAR, CAANSPS, CAASIP",272,0
"CAAMACT, CAANSR, CAAPSD, CAASIP, CAATVP",272,0
"CAANSPS, CAAPSD",271,0
"CAAAR, CAAMACT, CAASIP, CAATVP",262,0
"CAAGACTM, CAAMACT, CAANESH, CAANSPS, CAASIP, CAATVP",250,0
"CAAMACT, CAANSR, CAATVP",244,0
"CAACFC, CAASIP",240,0
"CAAFESOP, CAANSPS, CAASIP, CAATVP",235,0
"CAAGACTM, CAANSPS, CAANSR, CAATVP",235,0
"CAAMACT, CAANSPS, CAANSR, CAASIP",234,0
"CAACFC, CAANESH, CAANSPS, CAAPARGDC, CAASIP, CAATVP",228,0
"CAAAR, CAACFC, CAAGACTM, CAAMACT, CAANSPS, CAANSR, CAAPARGDC, CAASIP, CAATVP",227,0
"CAAFESOP, CAAMACT, CAASIP, CAATVP",222,0
"CAACFC, CAAMACT, CAAPARGDC, CAAPSD, CAASIP, CAATVP",221,0
"CAACFC, CAAGACTM, CAAMACT, CAAPARGDC, CAASIP, CAATVP",218,0
"CAAAR, CAACFC, CAAMACT, CAAPARGDC, CAASIP, CAATVP",208,0
"CAAFESOP, CAANSPS, CAAPSD, CAASIP",206,0
"CAACFC, CAAGHG, CAAMACT, CAANESH, CAANSPS, CAANSR, CAAPARGDC, CAASIP, CAATVP",202,0
"CAAGACTM, CAANSPS, CAAPSD, CAASIP, CAATVP",199,0
"CAAMACT, CAANESH, CAANSPS, CAANSR, CAASIP, CAATVP",199,0
"CAAFESOP, CAAMACT, CAANSPS, CAANSR, CAASIP",198,0
"CAAFESOP, CAAMACT, CAANSPS, CAASIP, CAATVP",194,0
"CAACFC, CAAMACT, CAANESH, CAANSPS, CAANSR, CAAPARGDC, CAAPSD, CAASIP, CAATVP",191,0
"CAAMACT, CAANESH, CAANSPS, CAAPSD, CAARMP, CAASIP, CAATVP",187,0
"CAANSR, CAATVP",175,0
"CAANSPS, CAANSR",169,0
"CAAAR, CAAMACT, CAANSPS, CAANSR, CAAPSD, CAASIP, CAATVP",167,0
"CAAMACT, CAANESH, CAANSPS, CAAPSD, CAATVP",164,0
"CAAAR, CAACFC, CAAGACTM, CAANSPS, CAANSR, CAAPARGDC, CAASIP, CAATVP",162,0
"CAANSPS, CAARMP, CAASIP",160,0
CAAMS,159,0
"CAAOTH, CAASIP",158,0
"CAANESH, CAATVP",156,0
"CAAFESOP, CAAMACT, CAANSPS, CAAPSD, CAATVP",151,0
"CAAMACT, CAANESH, CAANSPS, CAANSR, CAAPSD, CAASIP",150,0
"CAAMACT, CAANSPS, CAAOTH, CAASIP, CAATVP",148,0
"CAACFC, CAANSPS, CAANSR, CAAPARGDC, CAASIP, CAATVP",146,0
"CAAMACT, CAANESH, CAANSR, CAASIP, CAATVP",145,0
"CAAAR, CAACFC, CAAGACTM, CAAPARGDC, CAASIP, CAATVP",141,0
"CAAAR, CAANSPS, CAANSR, CAAPSD, CAASIP, CAATVP",140,0
"CAAMACT, CAANESH, CAANSPS, CAAPSD, CAASIP",138,0
CAANAM,135,0
CAAAR,132,0
"CAAMACT, CAAOP",132,0
"CAANSR, CAAPSD, CAASIP",131,0
"CAACFC, CAAGACTM, CAANSPS, CAAPARGDC, CAASIP",130,0
"CAAGACTM, CAANSR, CAATVP",128,0
"CAANESH, CAANSPS, CAANSR, CAAPSD, CAASIP",126,0
"CAAAR, CAANSPS, CAANSR, CAASIP, CAATVP",124,0
"CAAAR, CAACFC, CAANSR, CAAPARGDC, CAASIP, CAATVP",123,0
"CAANFRP, CAAOTH",121,0
"CAAAR, CAACFC, CAAGACTM, CAAMACT, CAANSPS, CAAPARGDC, CAAPSD, CAASIP, CAATVP",120,0
"CAANESH, CAANSPS, CAAPSD, CAATVP",120,0
"CAANFRP, CAAOTH, CAASIP",119,0
"CAAAR, CAACFC, CAAGHG, CAAMACT, CAANSPS, CAAPARGDC, CAAPSD, CAASIP, CAATVP",118,0
"CAAMACT, CAANESH, CAANSPS, CAANSR, CAAPSD, CAASIP, CAATVP",117,0
"CAAMACT, CAANSPS, CAAOP",116,0
"CAACFC, CAAPARGDC, CAASIP",114,0
"CAACFC, CAASIP, CAATVP",114,0
"CAAGACTM, CAANSPS",113,0
"CAANESH, CAANSPS",113,0
"CAAAR, CAASIP",112,0
"CAAGACTM, CAANSPS, CAATVP",112,0
"CAANFRP, CAANSR, CAAOTH, CAASIP",110,0
"CAAFESOP, CAAMACT, CAAPSD, CAASIP",109,0
"CAACFC, CAAGACTM, CAAMACT, CAANESH, CAANSPS, CAAPARGDC, CAASIP, CAATVP",108,0
"CAAFESOP, CAAGACTM, CAANSR, CAASIP",108,0
"CAANSPS, CAANSR, CAAPSD, CAASIP",108,0
"CAAAR, CAACFC, CAANSPS, CAANSR, CAAPARGDC, CAASIP, CAATVP",107,0
"CAAFESOP, CAAGACTM, CAANSPS, CAANSR",107,0
"CAAGHG, CAAMACT, CAANSPS, CAAPSD, CAASIP, CAATVP",105,0
"CAAFESOP, CAANESH, CAANSPS, CAASIP",102,0
CAAOTH,102,0
"CAANSPSM, CAASIP, CAATVP",100,0
"CAAMACT, CAANESH, CAAPSD, CAASIP, CAATVP",99,0
CAAHAPS,98,0
"CAANESH, CAANSPS, CAANSR, CAAPSD, CAASIP, CAATVP",98,0
"CAACFC, CAAGACTM, CAANSPS, CAANSR, CAAPARGDC, CAASIP, CAATVP",96,0
"CAACFC, CAAGACTM, CAANSPS, CAAPARGDC, CAAPSD, CAASIP, CAATVP",95,0
"CAAFESOP, CAAGACTM, CAANSPS, CAASIP",95,0
"CAAFESOP, CAAGACTM",94,0
"CAANESH, CAANSPSM",94,0
"CAAAR, CAAMACT, CAANSR, CAASIP, CAATVP",93,0
"CAAMACT, CAANSPS, CAARMP, CAASIP",93,0
"CAAAR, CAAMACT, CAANSPS, CAANSR, CAASIP, CAATVP",92,0
"CAAGACTM, CAANESH, CAANSPS, CAASIP, CAATVP",92,0
"CAAGHG, CAAMACT, CAANSPS, CAANSR, CAASIP, CAATVP",92,0
"CAAOP, CAASIP",90,0
CAARMP,90,0
"CAAMACT, CAANESH, CAANSPS",88,0
"CAACFC, CAAGACTM, CAAMACT, CAANSPS, CAASIP",87,0
"CAACFC, CAAGHG, CAAMACT, CAANSPS, CAANSR, CAAPARGDC, CAAPSD, CAASIP, CAATVP",84,0
"CAAFESOP, CAAGACTM, CAAMACT, CAANSPS, CAANSR",84,0
"CAAGACTM, CAANSPS, CAANSR, CAASIP, CAATVP",84,0
"CAAAR, CAACFC, CAAGHG, CAAMACT, CAANSR, CAAPARGDC, CAASIP, CAATVP",82,0
"CAAMACT, CAAOP, CAASIP",82,0
"CAACFC, CAAGACTM, CAAMACT, CAANSPS, CAAPARGDC, CAASIP",81,0
"CAACFC, CAAGACTM, CAANSPS, CAANSR, CAAOTH, CAASIP, CAATVP",81,0
"CAAGACTM, CAANSPSM, CAASIP, CAATVP",81,0
"CAAAR, CAANSR, CAASIP, CAATVP",80,0
"CAAGACTM, CAATVP",80,0
"CAAGHG, CAAMACT, CAASIP, CAATVP",80,0
"CAAAR, CAAMACT, CAANESH, CAANSPS, CAAPSD, CAASIP, CAATVP",79,0
"CAANESH, CAAPSD, CAASIP, CAATVP",79,0
"CAACFC, CAAGACTM, CAAGHG, CAANSPS, CAAPARGDC, CAASIP, CAATVP",75,0
"CAAAR, CAAMACT, CAANESH, CAANSPS, CAANSR, CAASIP, CAATVP",74,0
"CAACFC, CAAGACTM, CAAGHG, CAAMACT, CAANSPS, CAANSR, CAAPARGDC, CAASIP, CAATVP",74,0
"CAACFC, CAAGACTM, CAAGHG, CAAPARGDC, CAASIP, CAATVP",74,0
"CAACFC, CAAGHG, CAANSPS, CAANSR, CAAPARGDC, CAASIP, CAATVP",73,0
"CAAGACTM, CAAMACT, CAANESH, CAANSPS, CAASIP",73,0
"CAACFC, CAAMACT, CAANSPS, CAASIP",71,0
"CAAGACTM, CAANSPSM",70,0
"CAAGACTM, CAAMACT",69,0
"CAAFESOP, CAAOTH",67,0
"CAAMACT, CAANESH, CAANSPSM",67,0
"CAAMACT, CAANSPSM, CAASIP, CAATVP",67,0
"CAACFC, CAAMACT, CAANSPS, CAAPARGDC, CAASIP",66,0
"CAAGHG, CAAMACT, CAANSPS, CAASIP, CAATVP",65,0
"CAAAR, CAAMACT, CAANSPS, CAAPSD, CAASIP",62,0
"CAAMACT, CAANSPS, CAAOP, CAASIP",61,0
"CAANESH, CAANSPS, CAANSR, CAASIP, CAATVP",61,0
"CAACFC, CAANSR, CAAPARGDC, CAASIP, CAATVP",60,0
"CAACFC, CAAMACT, CAANSPS, CAANSR, CAAPARGDC, CAASIP",59,0
"CAAMACT, CAANESH, CAANSPS, CAAOTH, CAASIP, CAATVP",59,0
"CAAAR, CAAMACT, CAAPSD, CAASIP, CAATVP",58,0
"CAACFC, CAAGACTM, CAANSPS, CAAPARGDC, CAAPSD, CAASIP",58,0
"CAAGACTM, CAAMACT, CAANSPS, CAANSR, CAASIP",58,0
CAASWFC,58,0
