PGM_SYS_ID,FACILITY_NAME,STREET_ADDRESS,CITY,STATE,ZIP_CODE,AIR_POLLUTANT_CLASS_CODE,AIR_OPERATING_STATUS_CODE
MN0000002716300065,3M - BLDG 17 - COTTAGE GROVE,HIGHWAY 61 & COUNTY ROAD 19,COTTAGE GROVE,MN,55016,MIN,CLS
MN0000002716300027,3M CHEM CONSUMER PRD,CHEMOLITE BLVD,COTTAGE GROVE,MN,55016,UNK,CLS
MN0000002716300069,3M CHEM ELECTRICAL,CHEMOLITE BLVD,COTTAGE GROVE,MN,55016,UNK,CLS
MN0000002716300020,3M CHEM GRAPHIC PREP,ADDRESS UNKNOWN,COTTAGE GROVE,MN,55000,UNK,CLS
MN0000002716300025,3M CHEMICAL OPERATIONS' COTTAGE GROVE FACILITY - INCINERATOR,10746 INNOVATION RD,COTTAGE GROVE,MN,550164600,MAJ,CLS
MN0000002716300002,3M CHEMICAL OPERATIONS COTTAGE GROVE FACILITY - ADDITIVES,10746 INNOVATION ROAD,COTTAGE GROVE,MN,550164600,MAJ,OPR
MN0000002716300015,3M CHEMICAL OPERATIONS COTTAGE GROVE FACILITY - UTILITIES,10746 INNOVATION RD,COTTAGE GROVE,MN,550164600,MAJ,OPR
MN0000002716300023,3M CHEMICAL OPERATIONS' COTTAGE GROVE FACILITY,10746 INNOVATION RD,COTTAGE GROVE,MN,550164600,MAJ,OPR
MN0000002716300017,3M CHEMICAL OPERATIONS' COTTAGE GROVE FACILITY - ABRASIVES,10746 INNOVATION RD,COTTAGE GROVE,MN,55016,MAJ,OPR
MN0000002716300059,3M CHEMICAL OPERATIONS' COTTAGE GROVE FACILITY - BUILDING 133,10746 INNOVATION RD,COTTAGE GROVE,MN,55016,MAJ,OPR
MN0000002716300133,3M CHEMICAL OPERATIONS' COTTAGE GROVE FACILITY - BUILDING 19 & 111,10746 INNOVATION ROAD,COTTAGE GROVE,MN,55016,MIN,OPR
MN0000002716300022,3M CHEMICAL OPERATIONS' COTTAGE GROVE FACILITY - CHEMICAL,10746 INNOVATION RD,COTTAGE GROVE,MN,55016,MIN,OPR
MN0000002716300080,3M CHEMICAL OPERATIONS' COTTAGE GROVE FACILITY - TAPE MANUFACTURING,10746 INNOVATION RD,COTTAGE GROVE,MN,55016,MAJ,OPR
