PGM_SYS_ID,FACILITY_NAME,STREET_ADDRESS,CITY,COUNTY_NAME,STATE,AIR_POLLUTANT_CLASS_CODE,AIR_OPERATING_STATUS_CODE
VA0000005108552549,ATLANTIC CONTRACTING & MATERIAL CO INC - PORTABLE 52549,4608 BAINBRIDGE BLVD,CHESAPEAKE,Chesapeake (city),VA,MIN,CLS
VA0000005108552574,ATLANTIC CONTRACTING & MATERIAL CO INC - PORTABLE 52574,10500 SADISCO DR,ASHLAND,Hanover,VA,MIN,CLS
VA0000005108552595,ATLANTIC CONTRACTING AND MATERIAL CO INC - PORTABLE 52595,10500 SADISCO DR,ASHLAND,Hanover,VA,MIN,CLS
VA0000005108552529,"ATLANTIC CONTRACTING AND MATERIALS CO., INC. - PORTABLE 52529",4608 BAINBRIDGE BLVD,CHESAPEAKE,Chesapeake (city),VA,MIN,CLS
VA0000005108552573,BLAIR ASPHALT LLC -  PORTABLE 52573,1 BLAIR BROTHERS RD,SUFFOLK,Suffolk (city),VA,MIN,CLS
VA0000005108552500,BLAIR ASPHALT LLC - PORTABLE 52500,1 BLAIR BROTHERS RD,SUFFOLK,Suffolk (city),VA,MIN,CLS
VA0000005108552455,JUSTICE LOW SEAM MINING INC - PORTABLE 52455,302 S JEFFERSON ST,ROANOKE,Roanoke (city),VA,MIN,CLS
VA0000005108552521,POWERSCREEN MID ATLANTIC - PORTABLE 52521,10500 SADISCO DR,ASHLAND,Hanover,VA,MIN,CLS
VA0000005108552367,POWERSCREEN MID ATLANTIC INC - PORTABLE,10500 SADISCO DR,ASHLAND,Hanover,VA,MIN,CLS
VA0000005108552202,POWERSCREEN MID ATLANTIC INC - PORTABLE 52202,10500 SADISCO DR,ASHLAND,Hanover,VA,MIN,CLS
VA0000005108552203,POWERSCREEN MID ATLANTIC INC - PORTABLE 52203,10500 SADISCO DR,ASHLAND,Hanover,VA,MIN,CLS
VA0000005108552223,POWERSCREEN MID ATLANTIC INC - PORTABLE 52223,10500 SADISCO DR,ASHLAND,Hanover,VA,MIN,CLS
VA0000005108552233,POWERSCREEN MID ATLANTIC INC - PORTABLE 52233,10500 SADISCO DR,ASHLAND,Hanover,VA,MIN,CLS
VA0000005108552234,POWERSCREEN MID ATLANTIC INC - PORTABLE 52234,10500 SADISCO DR,ASHLAND,Hanover,VA,MIN,CLS
VA0000005108552235,POWERSCREEN MID ATLANTIC INC - PORTABLE 52235,10500 SADISCO DR,ASHLAND,Hanover,VA,MIN,CLS
VA0000005108552236,POWERSCREEN MID ATLANTIC INC - PORTABLE 52236,10500 SADISCO DR,ASHLAND,Hanover,VA,MIN,CLS
VA0000005108552244,POWERSCREEN MID ATLANTIC INC - PORTABLE 52244,10500 SADISCO DR,ASHLAND,Hanover,VA,MIN,CLS
VA0000005108552245,POWERSCREEN MID ATLANTIC INC - PORTABLE 52245,10500 SADISCO DR,ASHLAND,Hanover,VA,MIN,CLS
VA0000005102552246,POWERSCREEN MID ATLANTIC INC - PORTABLE 52246,10500 SADISCO DR,ASHLAND,Hanover,VA,MIN,CLS
VA0000005108552247,POWERSCREEN MID ATLANTIC INC - PORTABLE 52247,10500 SADISCO DR,ASHLAND,Hanover,VA,MIN,CLS
