POLLUTANT_DESC,AIR_POLLUTANT_CLASS_CODE,n
Carbon monoxide,MIN,52991
Carbon monoxide,SMI,13093
Carbon monoxide,MAJ,7914
Carbon monoxide,UNK,2739
Carbon monoxide,NAP,324
Carbon monoxide,OTH,56
FACIL,MIN,56548
FACIL,UNK,34549
FACIL,SMI,19683
FACIL,NAP,15969
FACIL,MAJ,13490
FACIL,OTH,1742
Formaldehyde,MIN,19664
Formaldehyde,SMI,4795
Formaldehyde,MAJ,1126
Formaldehyde,UNK,479
Formaldehyde,NAP,160
Formaldehyde,OTH,17
NITROGEN OXIDES NO2,MIN,51170
NITROGEN OXIDES NO2,SMI,14294
NITROGEN OXIDES NO2,MAJ,7845
NITROGEN OXIDES NO2,UNK,1388
NITROGEN OXIDES NO2,NAP,201
NITROGEN OXIDES NO2,OTH,8
OTHER,MIN,7950
OTHER,SMI,2983
OTHER,MAJ,1045
OTHER,UNK,1005
OTHER,NAP,120
OTHER,OTH,37
PARTICULATE MATTER < 10 UM,MIN,50802
PARTICULATE MATTER < 10 UM,SMI,8243
PARTICULATE MATTER < 10 UM,MAJ,4301
PARTICULATE MATTER < 10 UM,UNK,1711
PARTICULATE MATTER < 10 UM,NAP,57
PARTICULATE MATTER < 10 UM,OTH,11
Sulfur dioxide,MIN,37809
Sulfur dioxide,SMI,7107
Sulfur dioxide,MAJ,6393
Sulfur dioxide,UNK,2451
Sulfur dioxide,NAP,427
Sulfur dioxide,OTH,38
TOTAL HAZARDOUS AIR POLLUTANTS (HAPS),MIN,32982
TOTAL HAZARDOUS AIR POLLUTANTS (HAPS),SMI,10281
TOTAL HAZARDOUS AIR POLLUTANTS (HAPS),MAJ,5305
TOTAL HAZARDOUS AIR POLLUTANTS (HAPS),UNK,823
TOTAL HAZARDOUS AIR POLLUTANTS (HAPS),NAP,200
TOTAL HAZARDOUS AIR POLLUTANTS (HAPS),OTH,49
TOTAL PARTICULATE MATTER,MIN,66267
TOTAL PARTICULATE MATTER,SMI,10577
TOTAL PARTICULATE MATTER,MAJ,6325
TOTAL PARTICULATE MATTER,UNK,2973
TOTAL PARTICULATE MATTER,NAP,653
TOTAL PARTICULATE MATTER,OTH,50
VOLATILE ORGANIC COMPOUNDS (VOCS),MIN,95712
VOLATILE ORGANIC COMPOUNDS (VOCS),SMI,21767
VOLATILE ORGANIC COMPOUNDS (VOCS),MAJ,10588
VOLATILE ORGANIC COMPOUNDS (VOCS),UNK,2544
VOLATILE ORGANIC COMPOUNDS (VOCS),NAP,647
VOLATILE ORGANIC COMPOUNDS (VOCS),OTH,67
