PROGRAM_CODE,PROGRAM_DESC,n,pct
CAASIP,State Implementation Plan for National Primary and Secondary Ambient Air Quality Standards,240515,52.7
CAAMACT,MACT Standards (40 CFR Part 63),57396,12.6
CAANSPS,New Source Performance Standards,57199,12.5
CAATVP,Title V Permits,28832,6.3
CAAGACTM,40 CFR Part 63 Area Sources,16161,3.5
CAAFESOP,Federally-Enforceable State Operating Permit - Non Title V,12605,2.8
CAANSR,New Source Review Permit Requirements,11979,2.6
CAACFC,Stratospheric Ozone Protection,8355,1.8
CAAPSD,Prevention of Significant Deterioration of Air Quality,7514,1.6
CAANESH,National Emission Standards for Hazardous Air Pollutants (40 CFR Part 61),5159,1.1
CAANSPSM,New Source Performance Standards (Non-Major),3506,0.8
CAANFRP,Not defined as federally-reportable,1957,0.4
CAAOTH,State or Local rule or regulation that is not federally-enforceable,994,0.2
CAAFIP,Federal Implementation Plan for National Primary and Secondary Ambient Air Quality Standards,911,0.2
CAAPARGDC,Prevention of Accidental Release/General Duty Clause,822,0.2
CAAAR,Acid Rain Deposition Control (CAA Title IV),792,0.2
CAANAM,Tribal Rule Not Otherwise Covered,669,0.1
CAAGHG,The Mandatory Greenhouse Gas Reporting Rule,385,0.1
CAAFENF,"Federally-Enforceable Requirement, Non Specified",246,0.1
CAATIP,Tribal Implementation Plan for National Primary and Secondary Ambient Air Quality Standards,191,0
CAARMP,Risk Management Program,175,0
CAAMS,Mobile Sources,112,0
CAASFP,Part 62 - State and Federal Plans for Control of Designated Pollutants from Existing Facilities,59,0
CAAOP,Operating Permits,35,0
CAASPP,State Permit Programs,15,0
CAANAAQS,National Ambient Air Quality Standards (NAAQS),5,0
CAAMRR,"Monitoring, Reporting",4,0
CAASO,Stratospheric Ozone Protection,4,0
CAAHAPS,Hazardous Air Pollutants,2,0
CAAIRM,"Information Requests, Monitoring, & Recordkeeping",1,0
CAAPSDPR,PSD Preconstruction Requirements,1,0
