STATE_CODE,n,pct
CA,15026,14.9
PA,9090,9
TX,5446,5.4
NA,4800,4.7
OK,4698,4.6
MI,4668,4.6
IN,4059,4
OH,3662,3.6
NC,3519,3.5
NJ,3451,3.4
CO,3444,3.4
IL,3403,3.4
NY,3050,3
SC,2395,2.4
GA,2378,2.4
FL,2320,2.3
WI,2301,2.3
TN,2207,2.2
MN,1688,1.7
AR,1405,1.4
LA,1244,1.2
WA,1108,1.1
IA,1075,1.1
AL,1074,1.1
KS,1053,1
MA,1020,1
MS,988,1
AK,861,0.9
MO,794,0.8
CT,749,0.7
NM,674,0.7
WV,589,0.6
VA,578,0.6
OR,567,0.6
PR,565,0.6
KY,553,0.5
NE,480,0.5
NV,386,0.4
RI,377,0.4
HI,368,0.4
WY,352,0.3
DE,335,0.3
MD,309,0.3
AZ,290,0.3
MT,275,0.3
UT,266,0.3
ID,244,0.2
SD,239,0.2
NH,227,0.2
DC,191,0.2
ME,178,0.2
VT,72,0.1
ND,27,0
VI,25,0
GU,4,0
