dataset,table,issue,value,detail
ICIS-Air,FACILITIES,rows,279211,
ICIS-Air,FACILITIES,duplicate_key_rows,0,PGM_SYS_ID
ICIS-Air,FACILITIES,missing_top,95.8,LOCAL_CONTROL_REGION_CODE
ICIS-Air,FACILITIES,missing_top,95.8,LOCAL_CONTROL_REGION_NAME
ICIS-Air,FACILITIES,missing_top,23.2,SIC_CODES
ICIS-Air,PROGRAMS,rows,456601,
ICIS-Air,PROGRAMS,bad_dates,36,BEGIN_DATE
ICIS-Air,PROGRAMS,unparseable_dates,0,BEGIN_DATE
ICIS-Air,PROGRAMS,bad_dates,0,UPDATED_DATE
ICIS-Air,PROGRAMS,unparseable_dates,0,UPDATED_DATE
ICIS-Air,PROGRAM_SUBPARTS,rows,190570,
ICIS-Air,POLLUTANTS,rows,976479,
ICIS-Air,POLLUTANTS,missing_top,60.1,CHEMICAL_ABSTRACT_SERVICE_NMBR
ICIS-Air,POLLUTANTS,missing_top,16.9,SRS_ID
ICIS-Air,FCES_PCES,rows,1802044,
ICIS-Air,FCES_PCES,duplicate_key_rows,626,ACTIVITY_ID
ICIS-Air,FCES_PCES,missing_top,41.5,PROGRAM_CODES
ICIS-Air,FCES_PCES,missing_top,39.8,ACTIVITY_PURPOSE_DESC
ICIS-Air,FCES_PCES,bad_dates,23,ACTUAL_END_DATE
ICIS-Air,FCES_PCES,unparseable_dates,0,ACTUAL_END_DATE
ICIS-Air,VIOLATION_HISTORY,rows,101147,
ICIS-Air,VIOLATION_HISTORY,duplicate_key_rows,0,ACTIVITY_ID
ICIS-Air,VIOLATION_HISTORY,missing_top,81.3,AIR_LCON_CODE
ICIS-Air,VIOLATION_HISTORY,missing_top,62,DSCV_PATHWAY_DATE
ICIS-Air,VIOLATION_HISTORY,missing_top,56,HPV_DAYZERO_DATE
ICIS-Air,VIOLATION_HISTORY,bad_dates,3,EARLIEST_FRV_DETERM_DATE
ICIS-Air,VIOLATION_HISTORY,unparseable_dates,0,EARLIEST_FRV_DETERM_DATE
ICIS-Air,VIOLATION_HISTORY,bad_dates,1,HPV_DAYZERO_DATE
ICIS-Air,VIOLATION_HISTORY,unparseable_dates,0,HPV_DAYZERO_DATE
ICIS-Air,VIOLATION_HISTORY,bad_dates,1,HPV_RESOLVED_DATE
ICIS-Air,VIOLATION_HISTORY,unparseable_dates,0,HPV_RESOLVED_DATE
ICIS-Air,VIOLATION_HISTORY,bad_dates,0,DSCV_PATHWAY_DATE
ICIS-Air,VIOLATION_HISTORY,unparseable_dates,0,DSCV_PATHWAY_DATE
ICIS-Air,VIOLATION_HISTORY,bad_dates,0,NFTC_PATHWAY_DATE
ICIS-Air,VIOLATION_HISTORY,unparseable_dates,0,NFTC_PATHWAY_DATE
ICIS-Air,FORMAL_ACTIONS,rows,105656,
ICIS-Air,FORMAL_ACTIONS,duplicate_key_rows,2911,ACTIVITY_ID
ICIS-Air,FORMAL_ACTIONS,missing_top,0,SETTLEMENT_ENTERED_DATE
ICIS-Air,FORMAL_ACTIONS,bad_dates,0,SETTLEMENT_ENTERED_DATE
ICIS-Air,FORMAL_ACTIONS,unparseable_dates,0,SETTLEMENT_ENTERED_DATE
ICIS-Air,FORMAL_ACTIONS,numeric_max,100728768,PENALTY_AMOUNT
ICIS-Air,FORMAL_ACTIONS,numeric_pct_zero,31.6,PENALTY_AMOUNT
ICIS-Air,FORMAL_ACTIONS,numeric_pct_neg,0,PENALTY_AMOUNT
ICIS-Air,INFORMAL_ACTIONS,rows,336410,
ICIS-Air,INFORMAL_ACTIONS,duplicate_key_rows,164256,ACTIVITY_ID
ICIS-Air,INFORMAL_ACTIONS,missing_top,0.1,ACHIEVED_DATE
ICIS-Air,INFORMAL_ACTIONS,bad_dates,133,ACHIEVED_DATE
ICIS-Air,INFORMAL_ACTIONS,unparseable_dates,0,ACHIEVED_DATE
ICIS-Air,STACK_TESTS,rows,646332,
ICIS-Air,STACK_TESTS,duplicate_key_rows,0,ACTIVITY_ID
ICIS-Air,STACK_TESTS,missing_top,100,POLLUTANT_DESCS
ICIS-Air,STACK_TESTS,missing_top,37,POLLUTANT_CODES
ICIS-Air,STACK_TESTS,missing_top,7.2,AIR_STACK_TEST_STATUS_CODE
ICIS-Air,STACK_TESTS,bad_dates,8,ACTUAL_END_DATE
ICIS-Air,STACK_TESTS,unparseable_dates,0,ACTUAL_END_DATE
