PGM_SYS_ID,FACILITY_NAME,STREET_ADDRESS,CITY,COUNTY_NAME,STATE,AIR_POLLUTANT_CLASS_CODE,AIR_OPERATING_STATUS_CODE
CO0000000877704648,EVERGREEN NATURAL RESOURCES - OVERLOAD 2,27000 HIGHWAY 12,TRINIDAD,Undetermined,CO,MIN,CLS
CO0000000877704728,EVERGREEN - COTTON TAIL PASS UNIT 31-2,27000 HIGHWAY 12,TRINIDAD,Undetermined,CO,MIN,OPR
CO0000000877704731,EVERGREEN N. R. - DOODLE BUGGER 24-18,27000 HIGHWAY 12,TRINIDAD,Undetermined,CO,MIN,OPR
CO0000000877704712,EVERGREEN N. R. - GREGG CANYON 31-13 TR,27000 HIGHWAY 12,TRINIDAD,Undetermined,CO,MIN,OPR
CO0000000877704720,EVERGREEN N.R.  - FAT HEAD MINNOW 33-3,27000 HIGHWAY 12,TRINIDAD,Undetermined,CO,MIN,OPR
CO0000000877704727,EVERGREEN N.R. - CHRIST FEDERAL 21-11,27000 HIGHWAY 12,TRINIDAD,Undetermined,CO,MIN,OPR
CO0000000877704687,EVERGREEN N.R. - NORTH FORK RANCH 11-12V,27000 HIGHWAY 12,TRINIDAD,Undetermined,CO,MIN,OPR
CO0000000877704686,EVERGREEN N.R.. - TESTING TRAILER MT#636,27000 HIGHWAY 12,TRINIDAD,Undetermined,CO,MIN,OPR
CO0000000877704525,EVERGREEN NAT RES - KNUCKLEHEAD 11-36,27000 HIGHWAY 12,TRINIDAD,Undetermined,CO,MIN,OPR
CO0000000877704603,EVERGREEN NAT RES - PORTABLE ENGINE,27000 HIGHWAY 12,TRINIDAD,Undetermined,CO,MIN,OPR
CO0000000877704526,EVERGREEN NAT RES - SOLAR CRESENT 23-20,27000 HIGHWAY 12,TRINIDAD,Undetermined,CO,MIN,OPR
CO0000000877704527,EVERGREEN NAT RES - SPIRIT MOUNTAIN 32-2,27000 HIGHWAY 12,TRINIDAD,Undetermined,CO,MIN,OPR
CO0000000877704715,EVERGREEN NAT. RES. - BELARDE 12-34,27000 HIGHWAY 12,TRINIDAD,Undetermined,CO,MIN,OPR
CO0000000877704725,EVERGREEN NAT. RES. - CENTER FIRE 42-22,27000 HIGHWAY 12,TRINIDAD,Undetermined,CO,MIN,OPR
CO0000000877704732,EVERGREEN NAT. RES. - CROC 42-9 TR,27000 HIGHWAY 12,TRINIDAD,Undetermined,CO,MIN,OPR
CO0000000877704729,EVERGREEN NAT. RES. - CULIVER 14-12 TR,27000 HIGHWAY 12,TRINIDAD,Undetermined,CO,MIN,OPR
CO0000000877704730,EVERGREEN NAT. RES. - DALE 44-36,27000 HIGHWAY 12,TRINIDAD,Undetermined,CO,MIN,OPR
CO0000000877704723,EVERGREEN NAT. RES. - E BUDD 24-33,27000 HIGHWAY 12,TRINIDAD,Undetermined,CO,MIN,OPR
CO0000000877704724,EVERGREEN NAT. RES. - ELK 33-17,27000 HIGHWAY 12,TRINIDAD,Undetermined,CO,MIN,OPR
CO0000000877704719,EVERGREEN NAT. RES. - FANDANGO 14-28,27000 HIGHWAY 12,TRINIDAD,Undetermined,CO,MIN,OPR
CO0000000877704721,EVERGREEN NAT. RES. - FISH HOOK 43-8,27000 HIGHWAY 12,TRINIDAD,Undetermined,CO,MIN,OPR
CO0000000877704718,EVERGREEN NAT. RES. - GRANEROS 11-25,27000 HIGHWAY 12,TRINIDAD,Undetermined,CO,MIN,OPR
