AFS_ID,n_exact_frs_candidates,n_exact_frs_candidates_with_air,n_exact_frs_candidates_with_icis,max_frs_candidate_rules,n_exact_icis_candidates,max_icis_candidate_rules,has_any_exact_frs_candidate,has_any_exact_icis_candidate
010270TF01,1,1,1,1,1,3,TRUE,TRUE
0105700000,1,1,1,3,1,3,TRUE,TRUE
01071EPA11,1,1,1,1,0,0,TRUE,FALSE
0107300038,0,0,0,0,0,0,FALSE,FALSE
0107300409,0,0,0,0,0,0,FALSE,FALSE
0107300415,1,1,1,3,1,1,TRUE,TRUE
0107360297,0,0,0,0,1,1,FALSE,TRUE
01073EPA01,2,0,0,1,0,0,TRUE,FALSE
01073EPA02,0,0,0,0,0,0,FALSE,FALSE
01073EPA03,0,0,0,0,0,0,FALSE,FALSE
0108900016,1,1,1,1,1,1,TRUE,TRUE
0108900020,0,0,0,0,0,0,FALSE,FALSE
01089EPA11,0,0,0,0,0,0,FALSE,FALSE
0110300018,0,0,0,0,0,0,FALSE,FALSE
011070NEPT,1,1,1,3,1,3,TRUE,TRUE
011250BW07,1,1,1,1,1,1,TRUE,TRUE
011250CAS6,2,2,2,2,17,3,TRUE,TRUE
011250DBW1,1,1,1,3,7,2,TRUE,TRUE
011250TE01,4,4,4,2,7,3,TRUE,TRUE
011250TE04,3,3,3,3,7,3,TRUE,TRUE
011250TE05,7,5,5,2,7,3,TRUE,TRUE
011250TE11,3,3,3,3,7,3,TRUE,TRUE
011250TE12,1,1,1,3,3,3,TRUE,TRUE
011250TE22,9,4,4,2,7,3,TRUE,TRUE
0112790002,0,0,0,0,0,0,FALSE,FALSE
02010OCS03,0,0,0,0,0,0,FALSE,FALSE
0202000058,0,0,0,0,0,0,FALSE,FALSE
0202000082,0,0,0,0,2,1,FALSE,TRUE
0277790126,0,0,0,0,0,0,FALSE,FALSE
04003Z2654,0,0,0,0,1,1,FALSE,TRUE
0401300002,0,0,0,0,1,3,FALSE,TRUE
0401300006,1,0,0,1,0,0,TRUE,FALSE
0401300018,0,0,0,0,0,0,FALSE,FALSE
0401300026,1,0,0,1,0,0,TRUE,FALSE
0401300062,0,0,0,0,0,0,FALSE,FALSE
0401300072,1,0,0,1,0,0,TRUE,FALSE
0401300090,1,1,1,1,1,3,TRUE,TRUE
0401300098,0,0,0,0,0,0,FALSE,FALSE
0401300101,0,0,0,0,0,0,FALSE,FALSE
0401300130,2,0,0,2,0,0,TRUE,FALSE
0401300174,1,0,0,2,0,0,TRUE,FALSE
0401300205,3,0,0,2,0,0,TRUE,FALSE
0401300212,2,0,0,1,0,0,TRUE,FALSE
0401300213,1,1,1,1,1,3,TRUE,TRUE
0401300226,1,0,0,1,0,0,TRUE,FALSE
0401300234,1,1,1,3,1,2,TRUE,TRUE
0401300245,0,0,0,0,0,0,FALSE,FALSE
0401300249,0,0,0,0,0,0,FALSE,FALSE
0401300260,2,2,2,3,2,3,TRUE,TRUE
0401300281,0,0,0,0,0,0,FALSE,FALSE
0401300303,0,0,0,0,1,1,FALSE,TRUE
0401300341,2,1,1,1,1,3,TRUE,TRUE
0401300344,1,0,0,1,0,0,TRUE,FALSE
0401300353,2,1,1,2,0,0,TRUE,FALSE
0401300354,1,1,1,1,1,1,TRUE,TRUE
0401300355,0,0,0,0,0,0,FALSE,FALSE
0401300363,1,0,0,2,0,0,TRUE,FALSE
0401300419,1,0,0,1,0,0,TRUE,FALSE
0401300443,0,0,0,0,0,0,FALSE,FALSE
0401300508,1,0,0,3,0,0,TRUE,FALSE
0401300520,1,0,0,2,0,0,TRUE,FALSE
0401300529,1,0,0,3,0,0,TRUE,FALSE
0401300552,0,0,0,0,0,0,FALSE,FALSE
0401300620,1,0,0,2,0,0,TRUE,FALSE
0401300653,0,0,0,0,0,0,FALSE,FALSE
0401300693,2,0,0,3,0,0,TRUE,FALSE
0401300699,2,0,0,3,0,0,TRUE,FALSE
0401300744,1,1,1,3,1,1,TRUE,TRUE
0401300759,1,1,1,3,2,3,TRUE,TRUE
0401300777,1,1,1,2,1,1,TRUE,TRUE
0401300781,0,0,0,0,0,0,FALSE,FALSE
0401300857,2,0,0,3,0,0,TRUE,FALSE
0401300881,1,0,0,1,1,1,TRUE,TRUE
0401300901,0,0,0,0,0,0,FALSE,FALSE
0401300910,5,1,1,3,1,3,TRUE,TRUE
0401300969,0,0,0,0,1,3,FALSE,TRUE
0401300983,1,1,1,1,1,1,TRUE,TRUE
0401301014,1,0,0,2,0,0,TRUE,FALSE
0401301030,1,0,0,2,0,0,TRUE,FALSE
0401301059,1,0,0,2,0,0,TRUE,FALSE
0401301074,1,1,1,1,1,3,TRUE,TRUE
0401301075,0,0,0,0,0,0,FALSE,FALSE
0401301087,1,1,1,2,1,3,TRUE,TRUE
0401301102,1,0,0,2,0,0,TRUE,FALSE
0401301109,3,0,0,1,0,0,TRUE,FALSE
0401301162,0,0,0,0,0,0,FALSE,FALSE
0401301210,0,0,0,0,0,0,FALSE,FALSE
0401301211,1,0,0,1,0,0,TRUE,FALSE
0401301218,1,1,1,1,1,1,TRUE,TRUE
0401301228,0,0,0,0,0,0,FALSE,FALSE
0401301243,1,0,0,2,0,0,TRUE,FALSE
0401301248,0,0,0,0,0,0,FALSE,FALSE
0401301254,1,0,0,1,0,0,TRUE,FALSE
0401301261,0,0,0,0,0,0,FALSE,FALSE
0401301267,1,0,0,2,0,0,TRUE,FALSE
0401301271,0,0,0,0,0,0,FALSE,FALSE
0401301316,1,1,1,3,1,3,TRUE,TRUE
0401301318,0,0,0,0,0,0,FALSE,FALSE
0401301331,1,1,1,1,1,1,TRUE,TRUE
0401301341,1,0,0,2,0,0,TRUE,FALSE
0401301382,1,0,0,2,0,0,TRUE,FALSE
0401301398,1,1,1,2,0,0,TRUE,FALSE
0401301414,1,0,0,1,0,0,TRUE,FALSE
0401301415,1,0,0,1,0,0,TRUE,FALSE
0401301418,3,1,1,2,1,1,TRUE,TRUE
0401301437,0,0,0,0,0,0,FALSE,FALSE
0401301449,0,0,0,0,0,0,FALSE,FALSE
0401301502,0,0,0,0,0,0,FALSE,FALSE
0401301875,1,0,0,1,0,0,TRUE,FALSE
0401301879,1,1,1,1,0,0,TRUE,FALSE
0401302656,13,0,0,1,0,0,TRUE,FALSE
0401303297,1,0,0,1,0,0,TRUE,FALSE
0401303300,1,0,0,1,1,1,TRUE,TRUE
0401303305,0,0,0,0,1,3,FALSE,TRUE
0401303307,0,0,0,0,0,0,FALSE,FALSE
0401303313,0,0,0,0,1,1,FALSE,TRUE
