program_bundle,n_sources,pct
CAASIP,92916,50.5
CAAMACT + CAANSPS + CAASIP,14696,8
CAANSPS + CAASIP,10450,5.7
CAAMACT + CAASIP,10355,5.6
CAAMACT,6152,3.3
CAACFC,6053,3.3
CAAGACTM + CAANSPS + CAASIP,2738,1.5
CAAMACT + CAANSPS + CAASIP + CAATVP,2109,1.1
CAAFESOP + CAASIP,1901,1
CAAGACTM + CAASIP,1899,1
CAANSR + CAASIP,1768,1
CAASIP + CAATVP,1670,0.9
CAANSPS,1530,0.8
CAAFESOP + CAAGACTM + CAANSR + CAASIP,1407,0.8
CAAMACT + CAASIP + CAATVP,1274,0.7
CAAGACTM + CAAMACT + CAASIP,1084,0.6
CAANSR,1053,0.6
CAATVP,878,0.5
CAANSPS + CAASIP + CAATVP,822,0.4
CAAFESOP,766,0.4
CAAGACTM + CAAMACT + CAANSPS + CAASIP,765,0.4
CAANFRP,721,0.4
CAAFESOP + CAANSPS + CAASIP,719,0.4
CAAGACTM,700,0.4
CAANSR + CAAPSD + CAASIP,683,0.4
CAAMACT + CAANSPS + CAAPSD + CAASIP + CAATVP,662,0.4
CAAGACTM + CAAMACT,578,0.3
CAAMACT + CAANSPS + CAATVP,576,0.3
CAANSPSM + CAASIP,544,0.3
CAAFESOP + CAANSR + CAASIP,512,0.3
CAANSPS + CAANSR + CAASIP,482,0.3
CAANSPS + CAANSPSM + CAASIP,441,0.2
CAAGACTM + CAAMACT + CAANSPS + CAANSPSM + CAASIP,435,0.2
CAAMACT + CAANESH + CAANSPS + CAASIP + CAATVP,403,0.2
CAAGACTM + CAANSPSM + CAASIP,394,0.2
CAAPSD + CAASIP,335,0.2
CAAGACTM + CAANSPS + CAASIP + CAATVP,296,0.2
CAAGACTM + CAAMACT + CAANSPS + CAASIP + CAATVP,277,0.2
CAAMACT + CAANSPS + CAANSR + CAASIP,276,0.1
CAACFC + CAASIP,253,0.1
CAANSPSM,231,0.1
CAAMACT + CAANSPS,229,0.1
CAANAM,228,0.1
CAAFESOP + CAAMACT + CAASIP,220,0.1
CAAFESOP + CAAMACT + CAANSPS + CAASIP,198,0.1
CAANESH,196,0.1
CAAFIP,194,0.1
CAAFESOP + CAAGACTM + CAASIP,192,0.1
CAAMACT + CAAPSD + CAASIP + CAATVP,191,0.1
CAAFESOP + CAAGACTM + CAANSPS + CAASIP,181,0.1
CAAPSD,179,0.1
CAAFESOP + CAAGACTM + CAAMACT + CAANSR + CAASIP,175,0.1
CAAMACT + CAAPSD + CAASIP,174,0.1
CAAFESOP + CAANSPS + CAANSR + CAASIP,173,0.1
CAAMACT + CAANSPS + CAANSR + CAAPSD + CAASIP + CAATVP,157,0.1
CAANSPS + CAAPSD + CAASIP,156,0.1
CAANSPS + CAANSR + CAAPSD + CAASIP,149,0.1
CAAMACT + CAANSPS + CAANSR + CAASIP + CAATVP,142,0.1
CAAMACT + CAANSPS + CAAPSD + CAASIP,142,0.1
CAANSPS + CAAPSD + CAASIP + CAATVP,140,0.1
CAAFESOP + CAANSPSM + CAASIP,139,0.1
CAAMACT + CAATVP,136,0.1
CAANSR + CAASIP + CAATVP,133,0.1
CAAFIP + CAASIP,132,0.1
CAANSPS + CAATVP,132,0.1
CAAMACT + CAANSR + CAASIP,131,0.1
CAAMACT + CAANESH + CAANSPS + CAAPSD + CAASIP + CAATVP,129,0.1
CAAPSD + CAASIP + CAATVP,113,0.1
CAAFESOP + CAANSPS,111,0.1
CAATIP,104,0.1
CAAGACTM + CAAMACT + CAANSPS + CAAPSD + CAASIP + CAATVP,103,0.1
CAAFESOP + CAAGACTM + CAAMACT + CAANSPS + CAANSR + CAASIP,101,0.1
CAAFESOP + CAAMACT + CAANSR + CAASIP,101,0.1
CAAMACT + CAANSPS + CAANSR + CAAPSD + CAASIP,95,0.1
CAANSPS + CAANSR + CAASIP + CAATVP,95,0.1
CAAMS,94,0.1
CAAGACTM + CAASIP + CAATVP,93,0.1
CAAFESOP + CAAGACTM + CAANSPSM + CAASIP,89,0
CAANFRP + CAASIP,89,0
CAAPARGDC,86,0
CAAFESOP + CAAGACTM + CAAMACT + CAASIP,83,0
CAAGACTM + CAAMACT + CAASIP + CAATVP,80,0
CAAMACT + CAANSR + CAASIP + CAATVP,80,0
CAANFRP + CAANSR + CAAOTH,79,0
CAAFESOP + CAAGACTM + CAANSPS + CAANSR + CAASIP,77,0
CAAFENF,72,0
CAANESH + CAANSPS + CAASIP + CAATVP,70,0
CAANAM + CAASIP,69,0
