PROGRAM_CODE,AIR_OPERATING_STATUS_CODE,n
CAAAR,OPR,526
CAAAR,CLS,229
CAAAR,TMP,30
CAAAR,CNS,3
CAAAR,PLN,3
CAAAR,SEA,1
CAACFC,OPR,7386
CAACFC,CLS,946
CAACFC,TMP,21
CAACFC,PLN,2
CAAFENF,OPR,239
CAAFENF,CLS,4
CAAFENF,TMP,2
CAAFENF,CNS,1
CAAFESOP,OPR,8031
CAAFESOP,CLS,4467
CAAFESOP,TMP,52
CAAFESOP,CNS,34
CAAFESOP,PLN,18
CAAFESOP,SEA,3
CAAFIP,OPR,468
CAAFIP,CLS,440
CAAFIP,PLN,2
CAAFIP,CNS,1
CAAGACTM,OPR,13413
CAAGACTM,CLS,2464
CAAGACTM,TMP,136
CAAGACTM,PLN,94
CAAGACTM,CNS,35
CAAGACTM,SEA,19
CAAGHG,OPR,341
CAAGHG,CLS,41
CAAGHG,CNS,2
CAAGHG,SEA,1
CAAHAPS,OPR,2
CAAIRM,OPR,1
CAAMACT,OPR,45271
CAAMACT,CLS,11291
CAAMACT,PLN,515
CAAMACT,TMP,227
CAAMACT,CNS,85
CAAMACT,SEA,7
CAAMRR,OPR,4
CAAMS,OPR,109
CAAMS,CLS,3
CAANAAQS,OPR,5
CAANAM,OPR,477
CAANAM,CLS,180
CAANAM,TMP,9
CAANAM,SEA,2
CAANAM,CNS,1
CAANESH,CLS,3096
CAANESH,OPR,1977
CAANESH,CNS,50
CAANESH,PLN,19
CAANESH,TMP,17
CAANFRP,OPR,1312
CAANFRP,CLS,630
CAANFRP,TMP,13
CAANFRP,CNS,1
CAANFRP,PLN,1
CAANSPS,OPR,43905
CAANSPS,CLS,12303
CAANSPS,TMP,429
CAANSPS,PLN,357
CAANSPS,CNS,151
CAANSPS,SEA,54
CAANSPSM,OPR,2896
CAANSPSM,CLS,490
CAANSPSM,SEA,73
CAANSPSM,PLN,18
CAANSPSM,TMP,18
CAANSPSM,CNS,11
CAANSR,OPR,9432
CAANSR,CLS,2326
CAANSR,PLN,144
CAANSR,TMP,43
CAANSR,CNS,34
CAAOP,CLS,31
CAAOP,OPR,4
CAAOTH,OPR,920
CAAOTH,CLS,65
CAAOTH,TMP,5
CAAOTH,SEA,2
CAAOTH,CNS,1
CAAOTH,PLN,1
CAAPARGDC,OPR,513
CAAPARGDC,CLS,309
CAAPSD,OPR,4804
CAAPSD,CLS,2529
CAAPSD,PLN,98
CAAPSD,TMP,42
CAAPSD,CNS,39
CAAPSD,SEA,2
CAAPSDPR,OPR,1
CAARMP,OPR,147
CAARMP,CLS,26
CAARMP,CNS,1
CAARMP,PLN,1
CAASFP,OPR,55
CAASFP,CLS,3
CAASFP,CNS,1
CAASIP,OPR,161430
CAASIP,CLS,73417
CAASIP,TMP,4065
CAASIP,PLN,687
CAASIP,CNS,587
CAASIP,SEA,329
CAASO,OPR,4
CAASPP,OPR,10
CAASPP,CLS,5
CAATIP,OPR,191
CAATVP,CLS,14659
CAATVP,OPR,13898
CAATVP,PLN,142
CAATVP,TMP,66
CAATVP,CNS,58
CAATVP,SEA,9
