POLLUTANT_CODES,n,pct
300000329,41134,40.7
NA,13012,12.9
300000243,8906,8.8
300000322,4180,4.1
300000328,3535,3.5
300000005,2599,2.6
300000319,2333,2.3
10461,2174,2.1
300000242,2005,2
10193,1683,1.7
300000236,1523,1.5
7003,949,0.9
300000330,947,0.9
300000282,861,0.9
300000243 300000329,664,0.7
300000074,432,0.4
300000240,372,0.4
300000010,360,0.4
300000242 300000243,343,0.3
300000038,336,0.3
10373,286,0.3
10193 300000005,267,0.3
10358,259,0.3
300000243 300000322,225,0.2
300000319 300000322,218,0.2
300000322 300000329,217,0.2
300000047,207,0.2
300000005 300000329,167,0.2
10461 300000005,160,0.2
300000018,159,0.2
300000183,148,0.1
300000236 300000322,140,0.1
300000210,139,0.1
300000323,135,0.1
300000207,133,0.1
10193 300000005 300000243,131,0.1
300000036,131,0.1
300000242 300000329,127,0.1
300000319 300000329,122,0.1
300000328 300000329,119,0.1
5409,119,0.1
300000243 300000328,117,0.1
300000006,110,0.1
10461 300000005 300000322,107,0.1
10494,106,0.1
300000119,105,0.1
10193 300000282,100,0.1
10461 300000329,98,0.1
300000016,91,0.1
7003 300000329,91,0.1
300000301,89,0.1
10193 300000005 300000329,88,0.1
10461 300000322,87,0.1
10193 300000243,86,0.1
300000377,86,0.1
7003 10373 200000481,85,0.1
10193 300000329,84,0.1
300000312,82,0.1
300000243 300000319,79,0.1
300000005 300000243,78,0.1
300000180,78,0.1
10193 10461 300000005,77,0.1
10461 300000243,75,0.1
300000302,74,0.1
300000004,71,0.1
300000236 300000329,70,0.1
300000005 300000322,65,0.1
7003 10373,65,0.1
300000322 300000328,63,0.1
320002801,63,0.1
10193 300000005 300000322,62,0.1
300000234,60,0.1
300000305,60,0.1
300000331,59,0.1
300000243 300000330,56,0.1
300000242 300000243 300000329,55,0.1
10193 300000005 300000243 300000329,53,0.1
10193 300000243 300000282,51,0.1
10461 300000282,51,0.1
300000174,51,0.1
300000188,47,0
10193 10461,45,0
200000481,45,0
300000320,44,0
300000242 300000322,43,0
300000319 300000320,43,0
10461 300000319,41,0
300000282 300000329,41,0
10461 300000005 300000319,40,0
7003 300000243,40,0
300000329 300000330,39,0
10193 300000322,38,0
10193 300000322 300000329,38,0
10461 300000005 300000243,36,0
300000011,36,0
300000243 300000322 300000329,35,0
300000298,35,0
10193 300000243 300000329,34,0
10461 300000243 300000322,33,0
300000322 300000330,33,0
300000003,32,0
300000236 300000328,32,0
10193 10358,31,0
300000327,31,0
300000097,30,0
300000378,30,0
10193 10461 300000322,29,0
10461 300000005 300000329,29,0
300000015,29,0
300000236 300000243,29,0
300000242 300000243 300000322,29,0
300000243 300000328 300000329,29,0
2092,28,0
300000048,28,0
300000236 300000319,28,0
300000243 300000282,28,0
300000243 300000323,28,0
300000119 300000243,27,0
300000168,27,0
320002821,27,0
10193 300000005 300000319,26,0
300000005 300000243 300000329,26,0
300000017,26,0
10193 300000243 300000322,25,0
10461 300000236,25,0
300000322 300000323,24,0
10193 300000319,23,0
10373 200000481,23,0
300000005 300000243 300000322,23,0
300000302 300000322,23,0
300000005 300000322 300000329,22,0
300000243 300000305,22,0
10193 300000236,21,0
300000002,21,0
300000005 300000328,21,0
300000005 300000330,21,0
7003 300000236,21,0
10461 300000010,20,0
300000007,20,0
300000207 300000329,20,0
300000242 300000319,20,0
300000243 300000305 300000322,20,0
5409 300000329,20,0
10193 10461 300000243,19,0
10193 300000243 300000319,19,0
300000005 300000319,19,0
300000208,19,0
10193 10461 300000282,18,0
300000171,18,0
300000236 300000319 300000322,18,0
300000333,18,0
10193 10461 300000319,17,0
10193 300000243 300000282 300000328,17,0
300000005 300000236,17,0
300000005 300000319 300000322,17,0
300000307,17,0
7003 300000243 300000329,17,0
10461 300000322 300000329,16,0
5409 300000243,16,0
10193 10461 300000010 300000243 300000282,15,0
300000151,15,0
300000236 300000322 300000328,15,0
10193 300000330,14,0
10373 300000328,14,0
10373 300000329,14,0
10461 300000005 300000330,14,0
10461 300000243 300000319,14,0
10461 300000282 300000319,14,0
300000236 300000322 300000329,14,0
300000319 300000320 300000329,14,0
300000680,14,0
10193 10461 300000213 300000242 300000243 300000282 300000319,13,0
10193 10461 300000242 300000243,13,0
10193 300000006,13,0
10193 300000282 300000328,13,0
10373 200000481 300000322,13,0
10461 300000282 300000322,13,0
300000119 300000329,13,0
300000236 300000243 300000322,13,0
300000242 300000333,13,0
300000243 300000319 300000329,13,0
300000289,13,0
7003 300000282,13,0
10193 10461 300000207 300000213 300000242 300000243 300000282 300000319,12,0
10193 300000328,12,0
10461 300000006 300000322,12,0
10461 300000236 300000322,12,0
10461 300000319 300000322,12,0
300000076,12,0
300000234 300000329,12,0
300000243 300000319 300000322,12,0
5409 7003,12,0
10193 300000242,11,0
10358 300000328,11,0
10373 300000322,11,0
300000005 300000242,11,0
300000010 300000243,11,0
300000025,11,0
300000183 300000243,11,0
300000242 300000243 300000282,11,0
300000242 300000243 300000319,11,0
300000282 300000322,11,0
300000290,11,0
300000319 300000322 300000329,11,0
4186,11,0
7003 10461,11,0
10193 10358 300000243,10,0
10193 10461 300000329,10,0
10193 300000242 300000243,10,0
10193 300000243 300000282 300000329,10,0
10193 300000319 300000322,10,0
10358 10373,10,0
10461 300000005 300000236,10,0
10461 300000006,10,0
10461 300000242,10,0
10461 300000242 300000243,10,0
10461 300000328,10,0
300000017 300000018,10,0
300000026,10,0
300000094,10,0
300000215,10,0
300000242 300000330,10,0
