PROGRAM_CODES,n,pct
CAASIP,38797,38.4
CAATVP,28593,28.3
CAASIP CAATVP,6673,6.6
CAANSPS,3503,3.5
CAAMACT,3476,3.4
CAAFESOP,2482,2.5
CAANSPS CAASIP,1815,1.8
CAAFESOP CAASIP,1304,1.3
CAAMACT CAASIP CAATVP,1216,1.2
CAAPSD,1035,1
CAANSR,997,1
CAANSPS CAASIP CAATVP,953,0.9
CAAMACT CAASIP,796,0.8
CAAMACT CAANSPS CAASIP CAATVP,789,0.8
CAANSR CAASIP,711,0.7
CAAMACT CAATVP,570,0.6
CAANESH,530,0.5
CAACFC,377,0.4
CAANSPS CAATVP,325,0.3
CAAFESOP CAANSPS CAASIP,317,0.3
CAAPSD CAASIP,312,0.3
CAAPSD CAASIP CAATVP,301,0.3
CAAMACT CAANSPS CAAPSD CAASIP CAATVP,285,0.3
CAAMACT CAANSPS CAASIP,254,0.3
CAAGACTM,235,0.2
CAAMACT CAANESH CAANSPS CAASIP CAATVP,235,0.2
CAANSPS CAAPSD CAASIP CAATVP,235,0.2
CAANSR CAASIP CAATVP,227,0.2
CAANSPSM,218,0.2
CAAFESOP CAAMACT CAASIP,166,0.2
CAANSPS CAAPSD CAASIP,162,0.2
CAAMACT CAANSPS,141,0.1
CAAGACTM CAASIP,128,0.1
CAAMACT CAANESH CAASIP CAATVP,123,0.1
CAANSR CAATVP,121,0.1
CAAMACT CAAPSD CAASIP CAATVP,112,0.1
CAAPSD CAATVP,106,0.1
CAANSPSM CAASIP,99,0.1
CAANESH CAANSPS CAASIP CAATVP,91,0.1
CAAAR,85,0.1
CAAMACT CAANSPS CAATVP,82,0.1
CAANSR CAAPSD,80,0.1
CAAMACT CAANSR CAASIP,79,0.1
CAAMACT CAANESH CAANSPS CAAPSD CAASIP CAATVP,77,0.1
CAANSPS CAANSR CAASIP,71,0.1
CAAMACT CAANSPS CAANSR CAAPSD CAASIP CAATVP,70,0.1
CAANESH CAASIP CAATVP,61,0.1
CAANESH CAASIP,59,0.1
CAANSR CAAPSD CAASIP CAATVP,51,0.1
CAANESH CAATVP,47,0
CAAFIP,46,0
CAANESH CAANSPS CAANSR CAAPSD CAASIP CAATVP,46,0
CAANSR CAAPSD CAASIP,46,0
CAANFRP,45,0
CAANSPS CAANSR CAASIP CAATVP,45,0
CAANSPS CAAPSD,43,0
CAAMACT CAANSPS CAAPSD CAASIP,41,0
CAAGACTM CAANSPS CAASIP,40,0
CAANESH CAANSPS CAASIP,40,0
CAAOTH,35,0
