STATE,n,pct
CO,32397,11.6
IL,28445,10.19
OK,18359,6.58
LA,13834,4.95
NY,12623,4.52
PA,11406,4.09
MD,11119,3.98
OH,10919,3.91
VA,10231,3.66
NM,8783,3.15
TX,7738,2.77
KS,7504,2.69
GA,7458,2.67
NJ,7152,2.56
NE,7041,2.52
FL,6876,2.46
MO,6863,2.46
IA,6235,2.23
UT,6175,2.21
MA,5255,1.88
NC,4135,1.48
TN,4088,1.46
MN,3640,1.3
MI,3487,1.25
SC,3436,1.23
CT,3187,1.14
CA,2916,1.04
AL,2884,1.03
IN,2478,0.89
AR,2459,0.88
ND,1858,0.67
ID,1817,0.65
MS,1690,0.61
NH,1626,0.58
ME,1418,0.51
WV,1393,0.5
WI,1202,0.43
KY,1006,0.36
WA,946,0.34
WY,863,0.31
SD,756,0.27
AZ,739,0.26
RI,717,0.26
AK,692,0.25
DC,636,0.23
PR,623,0.22
OR,434,0.16
DE,427,0.15
VT,367,0.13
NV,245,0.09
MT,236,0.08
HI,222,0.08
VI,126,0.05
GU,38,0.01
MP,11,0
