STATE,AIR_POLLUTANT_CLASS_CODE,n
AK,SMI,295
AK,MAJ,190
AK,MIN,167
AK,NA,38
AK,UNK,2
AL,MIN,1611
AL,SMI,595
AL,MAJ,536
AL,NAP,111
AL,NA,28
AL,UNK,3
AR,SMI,1145
AR,MIN,831
AR,MAJ,300
AR,OTH,84
AR,UNK,40
AR,NAP,35
AR,NA,24
AZ,SMI,274
AZ,MIN,174
AZ,MAJ,164
AZ,NA,118
AZ,NAP,8
AZ,UNK,1
CA,MAJ,1304
CA,MIN,991
CA,SMI,422
CA,NA,184
CA,NAP,12
CA,OTH,3
CO,MIN,28737
CO,SMI,2538
CO,NA,668
CO,MAJ,402
CO,NAP,28
CO,UNK,24
CT,MIN,2784
CT,SMI,194
CT,MAJ,86
CT,NA,69
CT,UNK,47
CT,NAP,7
DC,MIN,556
DC,MAJ,51
DC,NA,24
DC,SMI,5
DE,MIN,214
DE,SMI,118
DE,MAJ,86
DE,NA,7
DE,UNK,2
FL,MIN,3767
FL,UNK,1185
FL,SMI,955
FL,MAJ,683
FL,NA,170
FL,NAP,116
GA,MIN,3807
GA,SMI,2496
GA,MAJ,672
GA,NAP,229
GA,NA,168
GA,UNK,86
GU,MAJ,18
GU,MIN,13
GU,NA,4
GU,SMI,3
HI,MAJ,155
HI,MIN,31
HI,SMI,27
HI,NA,9
IA,MIN,3220
IA,SMI,2375
IA,MAJ,329
IA,UNK,232
IA,NA,48
IA,NAP,26
IA,OTH,5
ID,MIN,1401
ID,SMI,294
ID,MAJ,68
ID,NA,39
ID,UNK,15
IL,MIN,26478
IL,MAJ,697
IL,SMI,548
IL,NA,398
IL,UNK,324
IN,SMI,911
IN,MAJ,763
IN,MIN,633
IN,NA,167
IN,UNK,3
IN,OTH,1
KS,MIN,5350
KS,SMI,1329
KS,NA,425
KS,MAJ,357
KS,UNK,34
KS,NAP,8
KS,OTH,1
KY,SMI,383
KY,MAJ,339
KY,MIN,157
KY,NAP,85
KY,NA,34
KY,UNK,7
KY,OTH,1
LA,MIN,9157
LA,NA,2584
LA,UNK,1276
LA,MAJ,654
LA,SMI,163
MA,MIN,3515
MA,SMI,1089
MA,NA,451
MA,MAJ,130
MA,UNK,29
MA,NAP,24
MA,OTH,17
MD,MIN,10599
MD,SMI,261
MD,MAJ,162
MD,NA,93
MD,NAP,3
MD,UNK,1
ME,MIN,866
ME,SMI,384
ME,MAJ,89
ME,UNK,50
ME,NA,29
MI,MIN,1433
MI,SMI,1431
MI,MAJ,482
MI,NA,136
MI,NAP,2
MI,UNK,2
MI,OTH,1
MN,MIN,1364
MN,OTH,1034
MN,MAJ,347
MN,UNK,295
MN,NAP,294
MN,SMI,188
MN,NA,118
MO,MIN,5610
MO,UNK,447
MO,MAJ,366
MO,SMI,226
MO,NAP,191
MO,NA,22
MO,OTH,1
MP,MIN,5
MP,MAJ,4
MP,SMI,2
MS,MIN,686
MS,MAJ,443
MS,SMI,410
MS,NAP,88
MS,NA,36
MS,UNK,27
MT,MIN,72
MT,MAJ,69
MT,NA,50
MT,SMI,45
NC,MIN,2583
NC,SMI,1021
NC,MAJ,477
NC,NAP,28
NC,NA,25
NC,UNK,1
ND,NA,925
ND,MIN,693
ND,MAJ,120
ND,SMI,115
ND,NAP,3
ND,OTH,2
NE,MIN,6431
NE,SMI,276
NE,UNK,169
NE,MAJ,159
NE,NA,5
NE,OTH,1
NH,MIN,1320
NH,SMI,233
NH,MAJ,46
NH,NA,26
NH,UNK,1
NJ,MIN,5286
NJ,SMI,1269
NJ,MAJ,290
NJ,NAP,228
NJ,UNK,56
NJ,OTH,13
NJ,NA,10
NM,MIN,4445
NM,SMI,1917
NM,UNK,1807
NM,NA,363
NM,MAJ,249
NM,NAP,1
NM,OTH,1
NV,SMI,94
NV,MAJ,90
NV,MIN,44
NV,NA,16
NV,UNK,1
NY,MIN,8884
NY,SMI,3188
NY,MAJ,392
NY,NA,142
NY,NAP,13
NY,UNK,3
NY,OTH,1
OH,MIN,7854
OH,SMI,1182
OH,MAJ,806
OH,UNK,713
OH,NA,363
OH,NAP,1
OK,MIN,15015
OK,SMI,3020
OK,MAJ,315
OK,NA,8
OK,UNK,1
OR,MAJ,185
OR,MIN,181
OR,NA,34
OR,SMI,33
OR,OTH,1
PA,MIN,8763
PA,SMI,1538
PA,MAJ,934
PA,NA,138
PA,UNK,26
PA,OTH,4
PA,NAP,3
PR,MIN,525
PR,MAJ,65
PR,SMI,29
PR,NA,4
RI,MIN,444
RI,SMI,148
RI,MAJ,60
RI,NA,35
RI,UNK,26
RI,NAP,4
SC,MIN,1356
SC,NAP,1012
SC,SMI,530
SC,MAJ,322
SC,UNK,162
SC,NA,48
SC,OTH,6
SD,MIN,464
SD,MAJ,145
SD,SMI,115
SD,NA,23
SD,UNK,7
SD,NAP,1
SD,OTH,1
TN,MIN,2456
TN,SMI,1038
TN,MAJ,416
TN,NA,91
TN,NAP,82
TN,UNK,3
TN,OTH,2
TX,MIN,3783
TX,MAJ,2706
TX,NA,1118
TX,SMI,87
TX,UNK,32
TX,NAP,12
UT,NA,5516
UT,MIN,465
UT,MAJ,104
UT,SMI,78
UT,UNK,9
UT,OTH,2
UT,NAP,1
VA,MIN,8483
VA,SMI,1462
VA,MAJ,235
VA,NA,49
VA,NAP,2
VI,MIN,110
VI,MAJ,10
VI,SMI,3
VI,NA,2
VI,NAP,1
VT,SMI,194
VT,MIN,130
VT,MAJ,19
VT,NA,12
VT,UNK,10
VT,NAP,2
WA,MIN,478
WA,SMI,247
WA,MAJ,161
WA,NA,55
WA,NAP,5
WI,MAJ,455
WI,SMI,355
WI,MIN,175
WI,NA,131
WI,UNK,76
WI,OTH,6
WI,NAP,4
WV,MIN,949
WV,MAJ,238
WV,SMI,119
WV,NA,87
WY,MIN,668
WY,MAJ,133
WY,SMI,49
WY,NA,12
WY,NAP,1
