AIR_POLLUTANT_CLASS_CODE,AIR_OPERATING_STATUS_CODE,n
MAJ,OPR,13567
MAJ,CLS,5376
MAJ,TMP,59
MAJ,PLN,37
MAJ,CNS,28
MAJ,NA,11
MIN,OPR,136137
MIN,CLS,54331
MIN,TMP,3713
MIN,NA,895
MIN,PLN,535
MIN,CNS,317
MIN,SEA,286
NAP,CLS,1466
NAP,OPR,1154
NAP,PLN,32
NAP,TMP,12
NAP,NA,6
NAP,CNS,1
OTH,OPR,1070
OTH,CLS,115
OTH,NA,2
OTH,SEA,1
SMI,OPR,26884
SMI,CLS,10022
SMI,TMP,219
SMI,PLN,100
SMI,NA,92
SMI,CNS,90
SMI,SEA,39
UNK,CLS,5565
UNK,OPR,1529
UNK,CNS,88
UNK,PLN,34
UNK,NA,10
UNK,TMP,9
NA,NA,11451
NA,OPR,3699
NA,CLS,190
NA,CNS,24
NA,PLN,7
NA,TMP,7
NA,SEA,1
