PGM_SYS_ID,PROGRAM_CODE,PROGRAM_DESC,prg_status,AIR_OPERATING_STATUS_DESC,BEGIN_DATE,prg_updated,fac_class,fac_status,STATE,FACILITY_NAME,updated,update_year
IL000031096AKZ,CAAMACT,MACT Standards (40 CFR Part 63),CLS,Permanently Closed,10/19/2014,10/19/2014,SMI,OPR,IL,BRETFORD MFG,2014-10-19,2014
MA0000002512100087,CAAMACT,MACT Standards (40 CFR Part 63),CLS,Permanently Closed,05/20/2024,02/03/2025,MIN,OPR,MA,BRADFORD INDUSTRIES,2025-02-03,2025
MN0000002713300023,CAAMACT,MACT Standards (40 CFR Part 63),CLS,Permanently Closed,06/04/2025,06/17/2025,SMI,OPR,MN,"AGRI-ENERGY, LLC",2025-06-17,2025
NJ0000003402300367,CAAMACT,MACT Standards (40 CFR Part 63),CLS,Permanently Closed,10/19/2014,10/19/2014,SMI,OPR,NJ,CHEMTURA CORP (FKA CROMPTON CORP),2014-10-19,2014
NJ0000003400500007,CAAMACT,MACT Standards (40 CFR Part 63),CLS,Permanently Closed,10/19/2014,10/19/2014,SMI,OPR,NJ,HOEGANAES CORP,2014-10-19,2014
NY0000008262600086,CAAMACT,MACT Standards (40 CFR Part 63),CLS,Permanently Closed,10/19/2014,10/19/2014,MIN,OPR,NY,PHILBRENS LAUNDROMAT & DRYCLEANERS,2014-10-19,2014
NY0000008261400387,CAAMACT,MACT Standards (40 CFR Part 63),CLS,Permanently Closed,10/19/2014,10/19/2014,MIN,OPR,NY,ROCHESTER BRONZE & ALUMINUM FOUNDRY CO,2014-10-19,2014
WI0000005513508906,CAAMACT,MACT Standards (40 CFR Part 63),CLS,Permanently Closed,09/14/2022,09/14/2022,SMI,OPR,WI,"ALLIANCE INDUSTRIES, INC",2022-09-14,2022
AL000000010090TF03,CAAMACT,MACT Standards (40 CFR Part 63),CLS,Permanently Closed,10/19/2014,10/19/2014,MIN,OPR,AL,"TYSON FARMS, INC.",2014-10-19,2014
AL0000000110300016,CAAMACT,MACT Standards (40 CFR Part 63),CLS,Permanently Closed,10/19/2014,10/19/2014,MIN,OPR,AL,WOLVERINE TUBE DIVISION,2014-10-19,2014
