PGM_SYS_ID,PROGRAM_CODE,PROGRAM_DESC,prg_status,AIR_OPERATING_STATUS_DESC,BEGIN_DATE,prg_updated,fac_class,fac_status,STATE,FACILITY_NAME,SIC_CODES,NAICS_CODES,updated,update_year,naics_first
MA0000002512100087,CAAMACT,MACT Standards (40 CFR Part 63),CLS,Permanently Closed,05/20/2024,02/03/2025,MIN,OPR,MA,BRADFORD INDUSTRIES,2295,313312,2025-02-03,2025,313
MN0000002713300023,CAAMACT,MACT Standards (40 CFR Part 63),CLS,Permanently Closed,06/04/2025,06/17/2025,SMI,OPR,MN,"AGRI-ENERGY, LLC",NA,325193 325199,2025-06-17,2025,325
WI0000005513508906,CAAMACT,MACT Standards (40 CFR Part 63),CLS,Permanently Closed,09/14/2022,09/14/2022,SMI,OPR,WI,"ALLIANCE INDUSTRIES, INC",3449,331528 332812,2022-09-14,2022,331
IL000031600ADP,CAAMACT,MACT Standards (40 CFR Part 63),CLS,Permanently Closed,09/29/2025,09/29/2025,MIN,OPR,IL,ALLIED METAL CO,3341,331420,2025-09-29,2025,331
KS0000002015500071,CAAMACT,MACT Standards (40 CFR Part 63),CLS,Permanently Closed,10/27/2025,08/01/2025,SMI,OPR,KS,COLLINS BUS - SOUTH HUTCHINSON (AIR),3713,336211,2025-08-01,2025,336
NY0000006233600005,CAAMACT,MACT Standards (40 CFR Part 63),CLS,Permanently Closed,09/27/2023,01/05/2024,MIN,OPR,NY,KRAFT HEINZ FOODS COMPANY,2022,311513,2024-01-05,2024,311
NY0000002630600062,CAAMACT,MACT Standards (40 CFR Part 63),CLS,Permanently Closed,07/05/2023,07/05/2023,SMI,OPR,NY,QUEENS COLLEGE,8221,611310,2023-07-05,2023,611
NY0000002630400268,CAAMACT,MACT Standards (40 CFR Part 63),CLS,Permanently Closed,04/04/2022,04/04/2022,SMI,OPR,NY,SIMSMETAL EAST LLC-QUEENS PLANT,5093,562998,2022-04-04,2022,562
PA000493012,CAAMACT,MACT Standards (40 CFR Part 63),CLS,Permanently Closed,01/06/2026,02/24/2026,MIN,OPR,PA,CNTY LDFL INC/CNTY ENVIRONMENTAL OF CLARION,4953,562212,2026-02-24,2026,562
AL0000000111500003,CAAMACT,MACT Standards (40 CFR Part 63),CLS,Permanently Closed,11/30/2022,02/02/2023,MIN,OPR,AL,"REAL ALLOY SPECIFICATION, LLC",3341,331314,2023-02-02,2023,331
OH0000001318005977,CAANESH,National Emission Standards for Hazardous Air Pollutants (40 CFR Part 61),CLS,Permanently Closed,04/22/2009,02/11/2020,MIN,OPR,OH,GENERAL ENVIRONMENTAL MANAGEMENT LLC,NA,562212,2020-02-11,2020,562
OH0000001318005977,CAAMACT,MACT Standards (40 CFR Part 63),CLS,Permanently Closed,04/22/2009,02/11/2020,MIN,OPR,OH,GENERAL ENVIRONMENTAL MANAGEMENT LLC,NA,562212,2020-02-11,2020,562
OK0000004014300079,CAAMACT,MACT Standards (40 CFR Part 63),CLS,Permanently Closed,04/08/2020,05/04/2020,SMI,OPR,OK,US ECOLOGY TULSA INC / 2700 S 25TH W AVE,4953,562211,2020-05-04,2020,562
RI0000004400300002,CAAMACT,MACT Standards (40 CFR Part 63),CLS,Permanently Closed,10/19/2014,10/09/2019,MIN,OPR,RI,"ARKWRIGHT ADVANCED COATING, INC.",2821,322222,2019-10-09,2019,322
ME0000002300500633,CAAMACT,MACT Standards (40 CFR Part 63),CLS,Permanently Closed,05/07/2024,05/07/2024,SMI,OPR,ME,SABRE YACHTS,3732,336612,2024-05-07,2024,336
ME0000002300900798,CAAMACT,MACT Standards (40 CFR Part 63),CLS,Permanently Closed,05/04/2018,05/07/2018,SMI,OPR,ME,"THE TALARIA COMPANY, LLC D/B/A THE HINCKLEY COMPANY, LLC",NA,336612,2018-05-07,2018,336
NC0000003704100956,CAANESH,National Emission Standards for Hazardous Air Pollutants (40 CFR Part 61),CLS,Permanently Closed,11/13/2018,11/13/2018,SMI,OPR,NC,AURORIUM GREENSBORO LLC,2869,325199,2018-11-13,2018,325
PR0000007201300018,CAAMACT,MACT Standards (40 CFR Part 63),CLS,Permanently Closed,10/19/2014,01/11/2019,SMI,OPR,PR,EATON (FKA CUTLER HAMMER ELECTRICAL COMPANY),2821,325211,2019-01-11,2019,325
AR0000000509300030,CAAMACT,MACT Standards (40 CFR Part 63),CLS,Permanently Closed,03/13/2026,03/13/2026,MIN,OPR,AR,AMERICAN GREETINGS CORPORATION,2771,323113,2026-03-13,2026,323
GA0000001307300029,CAAMACT,MACT Standards (40 CFR Part 63),CLS,Permanently Closed,06/26/2018,12/22/2022,SMI,OPR,GA,"CRAWFORD KITCHENS, INC.",2434,337110,2022-12-22,2022,337
