POLLUTANT_CODE,POLLUTANT_DESC,n_facilities
300000329,FACIL,141981
300000243,VOLATILE ORGANIC COMPOUNDS (VOCS),131325
300000322,TOTAL PARTICULATE MATTER,86845
10193,Carbon monoxide,77117
300000005,NITROGEN OXIDES NO2,74906
300000319,PARTICULATE MATTER < 10 UM,65125
10461,Sulfur dioxide,54225
300000242,TOTAL HAZARDOUS AIR POLLUTANTS (HAPS),49640
300000207,Formaldehyde,26241
300000330,OTHER,13140
300000320,PARTICULATE MATTER < 2.5 UM,12613
300000282,NITROGEN OXIDES,11651
300000236,VISIBLE EMISSIONS,11177
300000240,CFC (CHLOROFLUOROCARBONS),10584
300000183,Benzene,10409
300000074,Tetrachloroethylene,9721
300000097,Toluene,9557
300000328,ADMIN,9334
300000323,POLLUTANT X,9288
300000048,Xylene,8602
10373,Particulate matter - PM10,8345
10358,Nitrogen oxides,7560
300000094,Hexane,7204
300000120,Ethylbenzene,6944
300000038,Lead,6330
7003,Particulate matter,6234
200000481,Particulate Matter - PM2.5,5520
300000010,Hydrogen sulfide,3987
300000188,Methanol,3678
300000305,TOTAL HYDROCARBONS,3533
300000107,Acrolein,2613
300000377,PM10 (Filterable portion only),2547
300000269,"2,2,4-Trimethylpentane",2531
300000047,ASBESTOS,2482
300000210,Chromium compounds,2214
300000018,Hydrochloric acid,2117
300000173,Acetaldehyde (duplicate pollutant),2114
300000138,Naphthalene,2062
300000006,NITROGEN OXIDES NO,1831
300000333,Acetaldehyde,1779
300000076,Carbon dioxide,1765
300000119,Styrene,1751
300000108,"1,3-Butadiene",1514
300000153,Methyl ethyl ketone,1394
300000213,Carbon Dioxide-Equivalents,1226
300000036,Mercury,1161
300000101,Methyl isobutyl ketone,1156
300000302,FUGITIVE EMISSIONS,1132
5409,Total hazardous air pollutants,1122
300000228,Nickel compounds,1103
300000226,MANGANESE & MANGANESE COMPOUNDS,1093
300000124,Cumene,1066
300000016,Ammonia,1049
300000095,Phenol,989
300000314,FINE PARTICULATES: HIGH PROBABILITY OF VIOLATION,972
300000218,CADMIUM COMPOUNDS,971
300000171,Methylene chloride,945
300000301,FUGITIVE DUST,932
300000315,FINE PARTICULATES: LOW PROBABILITY OF VIOLATION,914
300000215,ARSENIC COMPOUNDS,910
300000180,Methane (Air),874
300000007,NITROGEN OXIDES N2O ETC,853
300000295,AROMATICS,827
300000307,MERCURY COMPOUNDS,806
300000291,METAL HAP,780
300000015,Sulfuric acid,779
300000012,Selenium,777
10494,Volatile organic compounds,757
300000017,Hydrofluoric acid,749
300000321,POLYCYCLIC ORGANIC MATTER,742
300000222,COLBALT COMPOUNDS,726
300000011,Chlorine,691
300000318,LEAD COMPOUNDS,671
300000103,Ethylene glycol,642
300000376,PM2.5 (Filterable portion only),626
300000312,ODORS,613
300000187,Acetone,611
300000186,Chloroform,590
300000111,p-Dichlorobenzene,584
300000304,GLYCOL ETHERS (E651141),584
300000182,"1,1,1-Trichloroethane",568
300000174,Vinyl chloride,559
300000135,Biphenyl,541
300000234,NON-METHANE ORGANIC COMPOUNDS,532
300000296,BERYLLIUM COMPOUNDS,519
300000002,"Chromium, Hexavalent",503
300000151,Trichloroethylene,500
300000026,Beryllium,491
300000203,Carbon tetrachloride,485
300000037,Manganese,476
300000145,Methyl methacrylate,450
300000025,Cadmium,424
300000289,TOTAL SUSPENDED PARTICULATE (PHYSICAL PROPERTY),409
300000028,Arsenic,406
300000096,Chlorobenzene,399
300000237,Methyl tert-butyl ether,391
300000238,Zinc compounds,384
300000147,"1,1,2,2-Tetrachloroethane",370
300000152,"1,1,2-Trichloroethane",370
300000159,Propylene oxide,369
300000035,Nickel,358
300000177,Chloromethane,357
300000109,Ethylene dibromide,347
300000373,"Gasoline, natural",339
200000601,GHG,332
300000224,Lead compounds,331
300000168,Ethylene oxide,326
300000378,PM (Condensible portion),325
300000179,Methyl bromide,315
300000227,NICKEL & NICKEL COMPOUNDS,314
300000349,Isopropanol,314
300000105,"1,2-Dichloroethane",313
300000132,o-Xylene,310
300000366,Chromium[VI] trioxide,303
300000102,Vinyl acetate,300
300000331,Chromium,297
300000027,Barium,284
300000327,Primary PM10 (filterables and condensibles),283
300000395,Cyclohexane,278
300000277,HEXAMETHYLENE DIISOCYANATE,269
300000232,Antimony compounds,266
300000407,Chlorobenzene,263
300000129,"1,2,4-Trimethylbenzene",262
300000290,VOLATILE ORGANIC HAZARDOUS AIR POLLUTANT,260
300000169,Carbon disulfide,258
300000380,1-Butanol,258
300000003,Sulfide,247
300000090,Propylene,247
300000057,"1,3-Dichloropropene",239
300000223,Copper compounds,239
300000178,Ethylene,232
300000099,m-Xylene,227
300000154,"1,2-Dichloropropane",210
300000354,2-Methylnaphthalene,210
300000004,Fluoride,208
300000298,"CHLORINATED DIOXIN AND FURANS 2,3,7,8 CONGENERS ONLY (TEQ) (E17000407)",206
300000104,Acrylonitrile,196
300000175,Chloroethane,196
300000013,Phosphorus,194
300000143,Dibutyl phthalate,193
300000166,"1,1-Dichloroethane",191
10305,Hydrocarbons,183
300000078,Propanal,177
300000089,Di(2-ethylhexyl) phthalate,177
300000123,Acetophenone,172
300000030,Antimony,169
300000221,COLBALT & COBALT COMPOUNDS,167
300000231,REACTIVE ORGANIC COMPOUNDS,164
200000241,NMHC + NOx [Non-Methane Hydrocarbons plus Nitrogen oxides],163
300000085,Anthracene,162
300000352,Fluorene,156
300000480,Acenaphthene,156
300000475,Fluoranthene,155
300000478,Chrysene,153
300000060,Carbonyl sulfide,152
300000082,Triethylamine,152
300000362,Pyrene,152
300000009,Phosphine,148
300000049,Cresol,145
300000477,Acenaphthylene,145
300000544,Benzo[b]fluoranthene,145
300000518,Benz[a]anthracene,144
300000014,Nitric acid,143
300000073,Dimethyl phthalate,143
300000346,Benzo[a]pyrene,143
300000116,"4,4' - methylenedi (phenyl isocyanate)",141
300000217,Barium compound,140
300000474,"Indeno[1,2,3-cd]pyrene",137
300000476,Benzo[k]fluoranthene,136
300000093,Diethanolamine,133
300000113,p-Xylene,133
300000479,"Dibenz[a,h]anthracene",132
300000149,Acrylic acid,125
300000230,RADIONUCLIDES,124
300000397,Sodium hydroxide,124
300000326,Primary PM2.5 (filterables and condensibles),123
300000189,Ethanol,121
300000368,Cobalt,121
300000077,"1,4-Dioxane",117
300000045,Polychlorinated biphenyls,113
300000172,Acetonitrile,112
3670,SELENIUM COMPOUNDS,111
200000842,HC + NOx [Hydrocarbons plus Nitrogen oxides],111
300000155,Isophorone,110
300000023,Zinc,107
300000347,Cyanide,107
300000370,Phosphoric acid,106
300000165,"1,1-Dichloroethylene",105
2092,HYDROGEN CHLORIDE,104
300000416,Dichlorobenzene,99
300000419,2-Butoxyethanol,99
300000054,"Toluene-2,4-diisocyanate",98
300000381,Heptane,95
300000549,"7,12-Dimethylbenz[a]anthracene",95
300000069,Ethyl acrylate,94
300000024,Copper,93
300000084,"1,2,4-Trichlorobenzene",92
300000414,Pentane,89
300000083,"2,4-Dinitrotoluene",87
300000176,Hydrogen cyanide,87
10361,Nonmethane hydrocarbons [NMHC],86
300000294,ALDEHYDES,86
300000042,"2,3,7,8-Tetrachlorodibenzo-p-dioxin",84
300000140,Pentachlorophenol,84
300000193,Aniline,82
300000667,Light alkylate naphtha (petroleum),80
