PROGRAM_CODE,PROGRAM_DESC,n_records
CAASIP,State Implementation Plan for National Primary and Secondary Ambient Air Quality Standards,240515
CAAMACT,MACT Standards (40 CFR Part 63),57396
CAANSPS,New Source Performance Standards,57199
CAATVP,Title V Permits,28832
CAAGACTM,40 CFR Part 63 Area Sources,16161
CAAFESOP,Federally-Enforceable State Operating Permit - Non Title V,12605
CAANSR,New Source Review Permit Requirements,11979
CAACFC,Stratospheric Ozone Protection,8355
CAAPSD,Prevention of Significant Deterioration of Air Quality,7514
CAANESH,National Emission Standards for Hazardous Air Pollutants (40 CFR Part 61),5159
CAANSPSM,New Source Performance Standards (Non-Major),3506
CAANFRP,Not defined as federally-reportable,1957
CAAOTH,State or Local rule or regulation that is not federally-enforceable,994
CAAFIP,Federal Implementation Plan for National Primary and Secondary Ambient Air Quality Standards,911
CAAPARGDC,Prevention of Accidental Release/General Duty Clause,822
CAAAR,Acid Rain Deposition Control (CAA Title IV),792
CAANAM,Tribal Rule Not Otherwise Covered,669
CAAGHG,The Mandatory Greenhouse Gas Reporting Rule,385
CAAFENF,"Federally-Enforceable Requirement, Non Specified",246
CAATIP,Tribal Implementation Plan for National Primary and Secondary Ambient Air Quality Standards,191
CAARMP,Risk Management Program,175
CAAMS,Mobile Sources,112
CAASFP,Part 62 - State and Federal Plans for Control of Designated Pollutants from Existing Facilities,59
CAAOP,Operating Permits,35
CAASPP,State Permit Programs,15
CAANAAQS,National Ambient Air Quality Standards (NAAQS),5
CAAMRR,"Monitoring, Reporting",4
CAASO,Stratospheric Ozone Protection,4
CAAHAPS,Hazardous Air Pollutants,2
CAAIRM,"Information Requests, Monitoring, & Recordkeeping",1
CAAPSDPR,PSD Preconstruction Requirements,1
