PGM_SYS_ID,min_date,max_date,n_events,REGISTRY_ID
MA0000002504200270,1989-01-31,2026-03-14,37,110000308006
MA0000002511800034,1990-02-12,1998-01-29,3,110000308854
MA0000002511801276,2014-01-08,2022-11-18,3,110000308854
MA0000002511800151,1997-07-16,2025-07-09,74,110000308863
MA0000002511800315,2004-04-15,2004-07-06,2,110000308863
MA0000002511900920,1994-06-02,2007-01-24,5,110000309434
MA0000002511903188,2016-10-18,2026-03-16,3,110000309434
MA0000002512100053,1986-05-22,2021-03-01,55,110000309942
MA0000002512100120,1988-02-04,2000-04-07,8,110000309997
MA0000002512100015,1992-03-18,2009-07-14,29,110000309997
MA0000002511901355,1996-03-27,2010-08-26,3,110000310253
MA0000002511900683,1998-05-04,2026-01-30,86,110000310253
MA0000002511900194,1988-01-22,2014-08-29,113,110000310459
MA0000002511903733,2019-02-01,2026-04-30,14,110000310459
01000000E000000021,2018-08-02,2018-08-03,6,110000310752
MA0000002512001265,2021-07-28,2026-04-29,5,110000310752
MA0000002511902441,1996-04-02,2017-07-10,14,110000311421
MA0000002511903852,2018-03-27,2018-03-27,1,110000311421
MA0000002511901653,1999-04-15,2003-02-12,2,110000311467
MA0000002511901898,2002-04-15,2002-04-15,1,110000311467
MA0000002512000002,1986-06-17,2023-06-08,63,110000311644
MA0000002512000042,1989-02-01,2019-03-26,15,110000311859
MA0000002512000067,1986-05-14,2026-01-20,125,110000312064
RI0000004400100033,2010-09-08,2025-07-07,6,110000312082
RI0000004400710002,2017-03-28,2026-01-21,5,110000312171
RI0000004400502424,2009-01-23,2013-09-17,3,110000312554
RI0000004400100013,2009-04-03,2009-04-03,2,110000312554
RI0000004400500020,2003-01-07,2003-01-07,1,110000312572
RI0000004400500019,2004-03-01,2008-06-26,11,110000312572
RI0000004400500400,2001-10-03,2015-02-05,29,110000312581
RI0000004400500611,2001-10-03,2015-09-25,8,110000312581
RI0000004400300030,2002-10-11,2025-04-17,22,110000312652
RI0000004400300027,2008-08-21,2011-03-21,7,110000312652
RI0000004400300022,1986-05-07,2023-11-30,16,110000312698
01000000E000000045,2018-07-16,2018-07-16,1,110000312698
RI0000004400709013,2002-01-24,2003-10-27,2,110000313134
RI0000004400702425,2010-03-01,2024-08-22,12,110000313134
RI0000004400700035,2001-09-14,2005-02-01,3,110000313232
RI0000004400709011,1979-07-30,2003-08-19,3,110000313250
RI0000004400750005,2001-03-30,2001-03-30,1,110000313250
NH0000003301100038,2005-01-27,2019-07-10,4,110000313615
NH0000003301100204,2013-09-26,2022-10-03,3,110000313615
NH0000003301900025,1998-11-17,2024-05-02,7,110000313964
ME0000002300301362,2002-04-22,2002-11-13,2,110000314669
CT0000000901100100,1997-06-17,2011-08-01,69,110000315864
CT0000000901100101,2009-05-18,2025-04-07,19,110000315864
CT0000000901100102,2013-08-28,2019-04-23,7,110000315864
CT0000000901100038,1982-12-14,2022-05-10,33,110000315891
CT0000000901105043,2004-09-13,2014-03-04,4,110000315891
CT0000000901109002,2001-11-26,2010-12-08,3,110000316024
CT0000000901100054,2002-03-05,2014-07-21,10,110000316024
CT0000000900902009,2024-07-24,2024-07-24,1,110000317112
NJ0000003401712174,1989-01-20,2026-04-16,37,110000317826
NJ0000003401711421,2006-09-01,2016-01-20,3,110000317826
NJ0000003401712199,1980-04-08,2023-03-07,20,110000317862
NJ0000003401705015,1991-08-01,1998-06-10,2,110000317862
NJ0000003401305177,2013-09-30,2013-09-30,1,110000317899
NJ0000003402300074,1980-04-15,2022-09-30,20,110000318031
NJ0000003402315697,1996-09-11,2016-04-19,5,110000318031
NJ0000003403941800,1980-05-09,2025-01-21,46,110000318497
NJ0000003403941799,1994-08-05,2025-05-27,15,110000318497
NJ0000003402725165,2008-09-30,2012-05-01,2,110000318647
NJ0000003402726530,2009-03-27,2012-06-14,2,110000318647
NJ0000003402726809,2012-05-14,2022-08-30,3,110000318647
NJ0000003402315397,2013-09-12,2014-07-29,2,110000319049
NJ0000003401305255,1978-03-01,2019-10-24,25,110000319361
NJ00009588,2025-04-09,2025-04-09,1,110000319361
NJ0000003401306386,1996-01-18,2023-01-03,9,110000319450
020000003403900382,2000-01-31,2008-07-14,14,110000319771
NJ0000003403940940,2011-12-06,2023-08-14,4,110000319771
NJ0000003402725006,1977-12-14,2022-09-27,21,110000320689
NJ0000003402725034,1977-12-14,2011-09-29,22,110000320689
NJ0000003402726173,1979-08-20,2023-06-09,70,110000320876
NJ0000003402725017,2008-09-25,2023-06-09,6,110000320876
NJ0000003403300002,1978-04-25,2017-09-04,41,110000321241
NJ00065616,2017-07-11,2017-07-11,1,110000321241
NJ0000003401100001,1978-02-22,2024-09-29,42,110000321599
NJ00075774,2026-03-11,2026-03-11,1,110000321599
NJ0000003402300243,1980-06-13,2015-03-04,50,110000322277
NJ00019286,2021-12-07,2021-12-07,1,110000322277
020000003403500074,1999-01-27,1999-01-27,1,110000322473
NJ0000003403535235,2013-09-17,2013-09-17,1,110000322473
NY0000003392400025,1983-02-01,2020-06-30,45,110000323070
NY0000003399900028,1999-11-17,2025-07-29,141,110000323070
NY0000006304800029,1982-02-08,2023-08-30,99,110000325808
NY0000006304800141,2012-11-07,2012-11-07,1,110000325808
NY0000009294000002,1982-09-01,2005-06-20,33,110000327423
NY0000009294000048,1999-12-15,2003-05-28,6,110000327423
NY0000009294000049,2002-09-30,2002-09-30,1,110000327423
PA000517669,1989-04-04,2008-06-24,19,110000328887
PA000810902,2019-03-07,2025-08-27,8,110000328887
PA000104430,1982-11-12,2015-04-27,400,110000329038
PA000775836,2016-05-18,2026-04-21,330,110000329038
PAACH0004200300929,2012-10-16,2012-10-16,1,110000329181
PAACH0004200302035,2018-06-27,2018-06-27,1,110000329181
PA000262935,1982-10-13,2026-02-12,285,110000329886
PA000253423,1988-03-18,1996-04-11,11,110000330320
PA000253424,1997-06-20,2007-11-06,21,110000330320
PA000549364,1983-05-24,1997-03-21,18,110000330589
PA000515676,1998-03-26,2026-02-12,27,110000330589
PA000243395,1990-01-16,2025-12-04,155,110000330632
PA000494965,1997-09-09,2006-08-22,18,110000330632
PA000630882,2006-07-31,2008-04-08,2,110000330632
PA000252268,1989-03-23,2026-03-17,115,110000330927
PA000566419,2001-06-14,2026-03-19,43,110000330927
PA000246188,1983-02-14,2025-12-18,267,110000331221
PA000526703,2000-08-17,2012-05-08,15,110000331221
PA000247724,1983-01-27,2026-04-01,100,110000331338
PA000744594,2015-05-26,2022-09-21,4,110000331338
PA000239253,1983-04-25,2024-11-21,60,110000331409
PA000512375,1999-07-27,2000-05-03,2,110000331409
PA0000004204900014,1983-03-17,1991-02-13,16,110000331846
PA00050952,1991-01-10,2024-03-27,98,110000331846
PA000283705,1982-10-26,2026-04-15,109,110000331980
PA000510265,2002-10-01,2009-02-02,19,110000331980
PA0003822,1983-08-03,2026-03-19,236,110000334442
PA000559705,2000-09-22,2025-02-21,62,110000334442
PA000252187,1982-11-18,2026-04-01,318,110000334656
PA000521345,1986-03-25,2022-03-15,35,110000334656
PA000523355,1998-09-01,2024-11-19,20,110000334861
PA000510100,1983-06-02,2026-04-29,345,110000335049
