REGISTRY_ID,PGM_SYS_ID,FACILITY_NAME,STREET_ADDRESS,CITY,STATE,AIR_POLLUTANT_CLASS_CODE,AIR_OPERATING_STATUS_CODE
110000308006,MA0000002504200116,VISION AMERICAN SAW LLC,310 CHESTNUT STREET,"EAST LONGMEADOW, TOWN OF",MA,SMI,CLS
110000308006,MA0000002504200270,LENOX/AMERICAN SAW & MANUFACTURING CO.,301 CHESTNUT STREET,"EAST LONGMEADOW, TOWN OF",MA,SMI,OPR
110000308854,MA0000002511801276,HUDSON COLOR CONCENTRATES INC,50 FRANCIS ST,"LEOMINSTER, CITY OF",MA,MIN,OPR
110000308854,MA0000002511800034,"HUDSON COLOR CONCENTRATES, INC.",50 FRANCIS ST,"LEOMINSTER, CITY OF",MA,MIN,OPR
110000308863,MA0000002511800151,S&E SPECIALTY POLYMERS LLC,140 LEOMINSTER-SHIRLEYRD,LUNENBURG,MA,SMI,OPR
110000308863,MA0000002511800315,S&E SPECIALTY POLYMERS LLC,140 LEOMINSTER-SHIRLEY,LUNENBURG,MA,MIN,CLS
110000309434,MA0000002511903188,ANIKA THERAPEUTICS INC,32 WIGGINS AVE,BEDFORD,MA,SMI,OPR
110000309434,MA0000002511900920,MILLIPORE CORPORATION,32 WIGGINS AVENUE,"BEDFORD, TOWN OF",MA,MIN,OPR
110000309942,MA0000002512100053,1600 OSGOOD STREET LLC,1600 OSGOOD STREET,"NORTH ANDOVER, TOWN OF",MA,MIN,OPR
110000309942,MA0000002512100427,LUCENT TECHNOLOGIES,1600 OSGOOD ST,"NORTH ANDOVER, TOWN OF",MA,MIN,OPR
110000309997,MA0000002512100015,ADDEN FURNITURE INCORPORATED,26 JACKSON STREET,"LOWELL, CITY OF",MA,MIN,CLS
110000309997,MA0000002512100120,ADDEN FURNITURE COMPANY,26 JACKSON STREET,"LOWELL, CITY OF",MA,MIN,CLS
110000310253,MA0000002511901355,ITW DEVCON,30 ENDICOTT ST,"DANVERS, TOWN OF",MA,MAJ,CLS
110000310253,MA0000002511900683,ITW PERFORMANCE POLYMERS,30 ENDICOTT ST,"DANVERS, TOWN OF",MA,MAJ,OPR
110000310459,MA0000002511903733,SALEM HARBOR POWER DEVELOPMENT LP,24 FORT ST,"SALEM, CITY OF",MA,MAJ,OPR
110000310459,MA0000002511900194,DOMINION ENERGY-SALEM HARBOR LLC,24 FORT AVENUE,"SALEM, CITY OF",MA,MAJ,CLS
110000310752,01000000E000000021,CAPSTAN ATLANTIC,10 CUSHING DRIVE,WRENTHAM,MA,NA,NA
110000310752,MA0000002512001265,ATLANTIC SINTERED INC,10 CUSHING DR,WRENTHAM,MA,NA,NA
110000311421,MA0000002511902441,GLOBE COMPOSITE SOLUTIONS,254 BEECH STREET,"ROCKLAND, TOWN OF",MA,MIN,CLS
110000311421,MA0000002511903852,GLOBE COMPOSITE SOLUTIONS,200 SHUMAN AVE,STOUGHTON,MA,SMI,OPR
110000311467,MA0000002511901653,FOCAL INCORPORATED,4 MAGUIRE ROAD,"LEXINGTON, TOWN OF",MA,MIN,CLS
110000311467,MA0000002511901898,GENZYME CORPORATION,4 MAGUIRE ROAD,"LEXINGTON, TOWN OF",MA,MIN,TMP
110000311644,MA0000002512000002,EMS CUP LLC,34 FOREST STREET,"ATTLEBORO, CITY OF",MA,SMI,OPR
110000311644,MA0000002512000606,TEXAS INSTRUMENTS,34 FOREST STREET,"ATTLEBORO, CITY OF",MA,SMI,OPR
110000311859,MA0000002512000035,OLIN AEGIS INC,50 WELBY ROAD,"NEW BEDFORD, CITY OF",MA,MIN,CLS
110000311859,MA0000002512000042,AMETEK HCC AEGIS,50 WELBY ROAD,"NEW BEDFORD, CITY OF",MA,MIN,OPR
110000312064,MA0000002512000067,TAUNTON MUNICIPAL LIGHT - CLEARY FLOOD,1314 SOMERSET AVENUE,"TAUNTON, TOWN OF",MA,MAJ,OPR
110000312064,MA0000002512000069,TAUNTON ENERGY CENTER,SOMERSET AVENUE,"TAUNTON, TOWN OF",MA,MIN,CLS
110000312082,RI0000004400100033,SAINT-GOBAIN PERFORMANCE PLASTICS,386 METACOM AVENUE,BRISTOL,RI,SMI,OPR
110000312082,RI0000004400100555,FURON-DIXON,386 METACOM AVENUE,BRISTOL,RI,MIN,CLS
110000312091,RI0000004400100510,PREMIER THREAD,345 THAMES STREET,BRISTOL,RI,MAJ,CLS
110000312091,RI0000004400110045,COATS AMERICAN,345 THAMES STREET,BRISTOL,RI,MIN,CLS
110000312171,RI0000004400710002,EAGLEPICHER TECHNOLOGIES,2000 SOUTH COUNTY TRAIL,EAST GREENWICH,RI,SMI,OPR
110000312171,RI0000004400300410,CHERRY SEMICONDUCTOR,2000 S. COUNTY TRAIL,EAST GREENWICH,RI,MIN,OPR
110000312554,RI0000004400100013,TPI (PORTSMOUTH),225 ALEXANDER ROAD,RHODE ISLAND,RI,SMI,CLS
110000312554,RI0000004400502424,"WATERLINE SYSTEMS, LLC",225 ALEXANDER ROAD,PORTSMOUTH,RI,SMI,CLS
110000312572,RI0000004400500019,ALBIN MANUFACTURING INC.,226 WEST SHORE RD.,PORTSMOUTH,RI,MAJ,CLS
110000312572,RI0000004400500020,ALBIN HOLDINGS,226 WEST SHORE ROAD,PORTSMOUTH,RI,MIN,CLS
110000312581,RI0000004400500400,QUARTERMOON INC. AKA VANGARD SAILBOATS,200 HIGHPOINT AVE.,PORTSMOUTH,RI,MAJ,CLS
110000312581,RI0000004400500611,VANGUARD SAILBOATS,200 HIGHPOINT AVE,PORTSMOUTH,RI,MAJ,CLS
110000312652,RI0000004400300027,AT WALL COMPANY,55 SERVICE AVENUE,WARWICK,RI,MIN,OPR
110000312652,RI0000004400300030,A.T. WALL COMPANY,55 SERVICE AVENUE,WARWICK,RI,MIN,OPR
110000312698,01000000E000000045,AMTROL INCORPORATED,1400 DIVISION ROAD,WEST WARWICK,RI,NA,NA
110000312698,RI0000004400300022,"AMTROL, INC.",1400 DIVISION RD.,WEST WARWICK,RI,SMI,OPR
110000313134,RI0000004400702425,"LAMBERTI USA, INC.",199 AMARAL STREET,EAST PROVIDENCE,RI,SMI,OPR
110000313134,RI0000004400709013,"ARLON INC, FLEX TECH",199 AMARAL ST,EAST PROVIDENCE,RI,MAJ,CLS
110000313232,RI0000004400700035,GORHAM,JENCKES HILL RD,SMITHFIELD,RI,MIN,OPR
110000313232,RI0000004400791043,LENOX,270 JENKES HILL RD,PROVIDENCE,RI,SMI,CLS
110000313250,RI0000004400709011,FIBERMARK,1 GOLDSMITH STREET(OFF LEE ST),"JOHNSTON, TOWN OF",RI,MAJ,CLS
110000313250,RI0000004400750005,REXAM-DSI,1 GOLDSMITH STREET,"JOHNSTON, TOWN OF",RI,MIN,OPR
110000313615,NH0000003301100038,FREUDENBERG-NOK SEALING TECHNOLOGIES,50 AMMON DR,MANCHESTER,NH,MIN,OPR
110000313615,NH0000003301100204,"VIBRACOUSTIC NORTH AMERICA, L.P.",50 AMMON DR,MANCHESTER,NH,SMI,OPR
110000313964,NH0000003301900024,STURM RUGER & COMPANY INC,411 SUNAPEE ST,NEWPORT,NH,MIN,CLS
110000313964,NH0000003301900025,"STURM, RUGER & COMPANY, INC.",411 SUNAPEE ST,NEWPORT,NH,SMI,OPR
110000314669,ME0000002300300004,"MAINE FROZEN FOODS, INC.",27 BIRDS EYE AVE.,CARIBOU,ME,UNK,CLS
110000314669,ME0000002300301362,"MAINE FROZEN FOODS, INC.",27 BIRDS EYE AVE,CARIBOU,ME,MIN,CLS
110000315720,CT0000000900309303,"KOHLER MIX SPECIALTIES OF CONN, INC",100 MILK LANE,NEWINGTON,CT,MIN,OPR
110000315720,CT0000000900306116,H P HOOD INC,100 MILK LANE,NEWINGTON,CT,MIN,CLS
110000315864,CT0000000901100100,DOW CHEMICAL ALLYNS POINT,1761 RTE 12,CONNECTICUT,CT,MIN,OPR
110000315864,CT0000000901100101,"AMERICAS STYRENICS, LLC",1761 ROUTE 12,GALES FERRY,CT,MAJ,OPR
110000315864,CT0000000901100102,TRINSEO LLC,1761 ROUTE 12,GALES FERRY,CT,MAJ,CLS
110000315891,CT0000000901100038,PFIZER GLOBAL MANUFACTURING,445 EASTERN POINT RD,GROTON (HISTORICAL),CT,MAJ,OPR
110000315891,CT0000000901105043,PFIZER GLOBAL RESEARCH DIVISION,EASTERN POINT RD,GROTON (HISTORICAL),CT,MIN,OPR
110000316024,CT0000000901100054,FUSION PAPERBOARD - CONNECTICUT LLC,130 INLAND RD.,VERSAILLES,CT,MAJ,CLS
110000316024,CT0000000901109002,"CARAUSTAR CUSTOM PACKAGING GROUP, INC",126 INLAND ROAD,VERSAILLES,CT,MIN,CLS
110000317005,CT0000000900109218,SGB LLC,365 CHERRY ST,BRIDGEPORT,CT,UNK,CLS
110000317005,CT0000000900100170,BRIDGEPORT METAL GOODS MFG CO,365 CHERRY ST,BRIDGEPORT,CT,MIN,CLS
110000317087,CT0000000900108933,AUTOMATIC PLATING OF BRIDGEPORT INC,80 HASTING ST,BRIDGEPORT,CT,MIN,CLS
110000317087,CT0000000900109156,"PROGRESSIVE PLATING TECH, INC",80 HASTING ST,BRIDGEPORT,CT,MIN,OPR
110000317112,CT0000000900908691,IGC ADVANCED SUPERCONDUCTORS,1875 THOMASTON AVE,WATERBURY,CT,MIN,OPR
110000317112,CT0000000900902009,"LUVATA WATERBURY, INC.",2121 THOMASTON AVE.,WATERBURY,CT,MIN,OPR
110000317826,NJ0000003401711421,BAYONNE INDUSTRIES INC,10 HOOK RD,BAYONNE,NJ,SMI,CLS
110000317826,NJ0000003401712174,BAYONNE PLANT HOLDING LLC,10 HOOK ROAD,BAYONNE,NJ,MAJ,OPR
110000317862,NJ0000003401705015,AMERADA HESS CORP.,LOWER HOOK ROAD,BAYONNE,NJ,MIN,OPR
110000317862,NJ0000003401712199,BUCKEYE - BAYONNE TERMINAL,420 HOOK RD,BAYONNE,NJ,MAJ,OPR
110000317899,NJ0000003401300094,PMC INC GENERAL PLASTICS DIV,55 LA FRANCE AVE,BLOOMFIELD,NJ,MIN,OPR
110000317899,NJ0000003401305177,GENERAL PLASTICS - DIVISION OF PMC,55 LA FRANCE AVE,BLOOMFIELD,NJ,MIN,OPR
