REGISTRY_ID,n_sources,n_operating,n_closed,all_operating,any_closed
110000308006,2,1,1,FALSE,TRUE
110000308854,2,2,0,TRUE,FALSE
110000308863,2,1,1,FALSE,TRUE
110000309434,2,2,0,TRUE,FALSE
110000309942,2,2,0,TRUE,FALSE
110000309997,2,0,2,FALSE,TRUE
110000310253,2,1,1,FALSE,TRUE
110000310459,2,1,1,FALSE,TRUE
110000310752,2,0,0,TRUE,FALSE
110000311421,2,1,1,FALSE,TRUE
110000311467,2,0,1,FALSE,TRUE
110000311644,2,2,0,TRUE,FALSE
110000311859,2,1,1,FALSE,TRUE
110000312064,2,1,1,FALSE,TRUE
110000312082,2,1,1,FALSE,TRUE
110000312091,2,0,2,FALSE,TRUE
110000312171,2,2,0,TRUE,FALSE
110000312554,2,0,2,FALSE,TRUE
110000312572,2,0,2,FALSE,TRUE
110000312581,2,0,2,FALSE,TRUE
110000312652,2,2,0,TRUE,FALSE
110000312698,2,1,0,TRUE,FALSE
110000313134,2,1,1,FALSE,TRUE
110000313232,2,1,1,FALSE,TRUE
110000313250,2,1,1,FALSE,TRUE
110000313615,2,2,0,TRUE,FALSE
110000313964,2,1,1,FALSE,TRUE
110000314669,2,0,2,FALSE,TRUE
110000315720,2,1,1,FALSE,TRUE
110000315864,3,2,1,FALSE,TRUE
110000315891,2,2,0,TRUE,FALSE
110000316024,2,0,2,FALSE,TRUE
110000317005,2,0,2,FALSE,TRUE
110000317087,2,1,1,FALSE,TRUE
110000317112,2,2,0,TRUE,FALSE
110000317826,2,1,1,FALSE,TRUE
110000317862,2,2,0,TRUE,FALSE
110000317899,2,2,0,TRUE,FALSE
110000318031,2,2,0,TRUE,FALSE
110000318497,2,2,0,TRUE,FALSE
110000318647,3,1,2,FALSE,TRUE
110000319049,2,2,0,TRUE,FALSE
110000319361,2,0,1,FALSE,TRUE
110000319450,2,2,0,TRUE,FALSE
110000319771,2,2,0,TRUE,FALSE
110000320689,2,2,0,TRUE,FALSE
110000320876,2,2,0,TRUE,FALSE
110000321241,2,0,1,FALSE,TRUE
110000321599,2,2,0,TRUE,FALSE
110000322277,2,0,2,FALSE,TRUE
110000322473,2,2,0,TRUE,FALSE
110000323070,2,1,1,FALSE,TRUE
110000325808,2,2,0,TRUE,FALSE
110000327423,3,2,1,FALSE,TRUE
110000328887,2,1,1,FALSE,TRUE
110000329038,2,1,1,FALSE,TRUE
110000329181,2,2,0,TRUE,FALSE
110000329886,2,2,0,TRUE,FALSE
110000330320,2,0,2,FALSE,TRUE
110000330589,2,1,1,FALSE,TRUE
110000330632,3,2,1,FALSE,TRUE
110000330927,2,2,0,TRUE,FALSE
110000331221,2,2,0,TRUE,FALSE
110000331338,2,2,0,TRUE,FALSE
110000331409,2,2,0,TRUE,FALSE
110000331846,3,2,1,FALSE,TRUE
110000331980,2,1,1,FALSE,TRUE
110000334442,2,2,0,TRUE,FALSE
110000334656,2,2,0,TRUE,FALSE
110000334861,2,1,1,FALSE,TRUE
110000335049,2,1,1,FALSE,TRUE
110000335469,2,1,1,FALSE,TRUE
110000336850,2,0,0,TRUE,FALSE
110000336994,2,2,0,TRUE,FALSE
110000337029,2,2,0,TRUE,FALSE
110000337047,2,2,0,TRUE,FALSE
110000338206,2,1,1,FALSE,TRUE
110000338251,2,1,1,FALSE,TRUE
110000338821,2,2,0,TRUE,FALSE
110000339143,2,0,2,FALSE,TRUE
110000339303,4,2,2,FALSE,TRUE
110000340015,2,2,0,TRUE,FALSE
110000340569,2,2,0,TRUE,FALSE
110000341513,2,1,1,FALSE,TRUE
110000341755,2,1,1,FALSE,TRUE
110000342102,3,1,2,FALSE,TRUE
110000342175,2,1,1,FALSE,TRUE
110000342273,2,1,1,FALSE,TRUE
110000342371,2,0,2,FALSE,TRUE
110000342406,2,0,2,FALSE,TRUE
110000342460,2,1,1,FALSE,TRUE
110000342843,2,0,0,TRUE,FALSE
110000343030,3,0,3,FALSE,TRUE
110000343833,2,0,2,FALSE,TRUE
110000344020,2,1,0,FALSE,FALSE
110000344182,4,4,0,TRUE,FALSE
110000344306,2,0,2,FALSE,TRUE
110000344501,2,1,0,TRUE,FALSE
110000345644,2,1,1,FALSE,TRUE
110000346000,2,1,1,FALSE,TRUE
110000346607,2,2,0,TRUE,FALSE
110000346750,2,2,0,TRUE,FALSE
110000347214,2,1,1,FALSE,TRUE
110000347492,2,2,0,TRUE,FALSE
110000347768,2,1,1,FALSE,TRUE
110000347777,2,1,1,FALSE,TRUE
110000348008,2,1,1,FALSE,TRUE
110000348106,2,1,1,FALSE,TRUE
110000348124,2,2,0,TRUE,FALSE
110000348393,2,2,0,TRUE,FALSE
110000348641,2,1,1,FALSE,TRUE
110000348749,2,2,0,TRUE,FALSE
110000349034,2,2,0,TRUE,FALSE
110000349873,2,0,2,FALSE,TRUE
110000350272,2,2,0,TRUE,FALSE
110000350316,2,1,1,FALSE,TRUE
110000350352,3,2,1,FALSE,TRUE
110000350478,2,1,1,FALSE,TRUE
110000350735,2,1,1,FALSE,TRUE
110000351397,2,1,1,FALSE,TRUE
110000351636,2,0,2,FALSE,TRUE
110000351878,2,1,1,FALSE,TRUE
110000351887,4,2,2,FALSE,TRUE
110000351930,2,1,1,FALSE,TRUE
110000352154,2,2,0,TRUE,FALSE
110000352699,2,1,1,FALSE,TRUE
110000352822,2,0,2,FALSE,TRUE
110000353288,4,2,2,FALSE,TRUE
110000353420,3,3,0,TRUE,FALSE
110000353457,2,2,0,TRUE,FALSE
110000353527,6,4,2,FALSE,TRUE
110000353769,2,1,1,FALSE,TRUE
110000354063,2,1,1,FALSE,TRUE
110000354722,2,1,1,FALSE,TRUE
110000354759,2,1,1,FALSE,TRUE
