ACTIVITY_ID,n
3401584145,2
3600067554,2
3600067557,2
3600068155,2
3600116437,2
3600143254,2
3600145979,2
3600168313,2
3600168362,2
3600178446,4
3600191874,2
3600209644,2
3600209719,2
3600209724,2
3600209729,2
3600209812,2
3600209813,2
3600210756,2
3600210790,2
3600243438,3
3600243445,3
3600243449,2
3600243465,3
3600246110,2
3600356851,2
3600365911,2
3600365916,2
3600391076,2
3600391083,2
3600391105,2
3600399414,3
3600399468,3
3600399481,2
3600399762,2
3600401462,2
3600430398,2
3600430410,2
3600430420,2
3600430429,2
3600430436,2
3600476606,3
3600483203,2
3600489535,5
3600489539,5
3600489543,5
3600489545,5
3600489583,4
3600489586,4
3600489588,5
3600489589,4
3600489591,5
3600491987,4
3600491997,4
3600491998,4
3600492004,4
3600492005,4
3600492025,3
3600492031,3
3600537040,2
3600628013,2
3600659159,2
3600676630,2
3600676634,2
3600676637,2
3600676641,2
3600682147,2
3600684528,2
3600684539,2
3600684903,2
3600686074,3
3600686084,3
3600695200,3
3600696990,4
3600696992,4
3600702841,2
3600729947,2
3600729950,2
3600736133,2
3600736479,2
3600749725,2
3600754046,2
3600755809,2
3600755813,2
3600756907,2
3600757575,2
3600757620,2
3600764888,2
3600765177,2
3600768757,2
3600769267,4
3600795818,2
3600798020,2
3600798198,3
3600810348,2
3600814762,2
3600852417,2
3600858213,4
3600858223,4
3600858243,6
3600860647,4
3600869328,2
3600869334,2
3600869339,2
3600884833,2
3600884905,2
3600884910,2
3600888530,2
3600888532,2
3600896793,4
3600906600,2
3600916140,4
3600964225,2
3600984187,2
3600984188,3
3601009558,2
3601009560,2
3601048714,2
3601048720,2
3601054762,2
3601071481,2
3601076402,2
3601076427,2
3601084460,2
3601126204,3
3601142618,2
3601143090,2
3601143098,2
3601173443,2
3601173448,2
3601174185,2
3601175351,2
3601175925,2
3601188909,3
3601194224,3
3601294544,2
3601337559,2
3601337698,3
3601337727,2
3601341450,2
3601341457,3
3601357455,2
3601377192,2
3601401595,2
3601402203,2
3601402206,2
3601405802,2
3601422348,3
3601423789,3
3601425401,3
3601458058,2
3601459115,3
3601459146,6
3601460207,4
3601460208,6
3601460209,8
3601463545,2
3601473281,3
3601481232,2
3601485275,2
3601492265,2
3601492275,2
3601499109,3
3601508332,2
3601513987,3
3601513989,3
