ACTIVITY_ID,n
6686,2
18877,2
23504,10
23506,4
23680,8
24888,2
29864,2
31205,2
31886,2
31941,28
31942,4
32034,5
32040,16
32583,2
32608,3
33116,6
33299,8
33331,30
40525,3
40834,9
40838,6
40846,2
40851,6
41171,3
42028,2
42030,2
42032,4
42033,2
42037,5
50490,6
51886,2
51954,3
86522,5
86563,2
86795,2
86807,2
86888,2
87151,3
87208,2
87307,2
87442,3
87675,3
87816,2
94930,10
94939,6
96539,2
99429,2
99893,5
102949,12
104135,4
105368,6
106525,2
111350,3
111364,15
114265,2
114275,5
120803,2
121326,2
121587,2
121612,2
125069,2
126856,2
127863,3
128105,4
128383,5
128433,3
130208,24
130227,2
130247,12
130492,4
131351,6
131953,4
132220,2
135100,3
137709,2
140048,4
144580,3
144807,4
146973,2
148198,3
148826,2
154498,3
155708,3
157831,4
158290,8
158812,3
159266,3
159397,2
159658,4
160050,4
160703,2
161265,3
162112,2
162346,4
162645,9
168496,2
170064,2
170175,2
173208,2
173391,7
173496,2
173709,2
173964,3
174139,4
176184,14
200000078,6
200004917,2
200005182,3
600002259,2
600002963,3
600003130,2
600010277,2
600010334,6
600010493,2
600010853,3
600012288,2
600012426,2
600012711,2
600012807,2
600013855,3
600014835,2
600015596,9
600017579,2
600023833,2
600024219,3
600025738,2
600033329,2
600036110,2
600038288,2
600048695,2
600051707,2
600056902,2
600060368,5
600061373,2
600061791,2
600062760,2
600062805,2
600065897,6
600066049,2
600066318,2
600074950,2
600079071,2
600084653,2
600084989,4
600092934,2
1000007516,2
1000008317,4
1000009938,4
1000009985,4
1000013778,8
1400008499,3
1400009144,4
1400010110,2
1400012180,4
1400017460,5
1400021981,2
1400025449,4
1400037114,2
1400037538,3
1400038060,8
1400044172,4
1400046087,2
1800007689,2
1800020807,2
1800024634,2
1800027190,2
1800027272,4
1800027297,2
1800028681,2
1800028737,4
1800030873,2
1800031735,6
1800032253,3
1800033354,2
1800038896,2
1800068532,5
1800074192,2
1800075912,2
1800079404,3
1800089151,4
1800089958,2
1800096964,11
1800096972,11
1800105167,2
1800108647,4
1800111945,2
1800113396,2
2200004610,8
2200009097,6
2200010656,2
2200010742,2
2200012566,2
2200015884,3
2200016082,2
2200016140,2
2200018982,2
2200019705,8
2200019726,2
2200020610,6
2200029836,2
2200035896,2
2200038440,3
2600001393,2
2600003097,2
2600022596,2
2600026434,3
2600029122,2
2600035990,9
2600049902,3
2600053067,2
2600055088,4
2600055578,2
2600055601,41
2600058750,2
2600059825,3
2600061040,2
2600066346,12
2600077377,9
2600094120,2
2600096199,4
2600104135,2
3000000537,2
3000014281,7
3000018271,3
3000023740,3
3000034258,2
3000035926,8
3000057207,3
3000060984,2
3000062044,2
3000072487,2
3400038158,3
3400044600,2
3400057652,3
3400095428,6
3400096923,3
3400139932,6
