ACTIVITY_ID,n
75078,2
83594,2
85372,2
86246,2
87714,2
87719,2
87741,2
87762,2
87765,2
87795,2
87798,2
87800,2
90821,2
106675,2
141050,2
141054,2
141068,2
146444,2
157284,2
158082,2
159539,2
159540,2
170256,2
170261,2
170265,2
170269,2
170272,2
170280,2
175109,2
175113,2
175455,2
178176,2
600006126,2
600018469,2
600027656,2
600058312,2
1000002531,2
1000009011,2
1400001438,2
1400005821,2
1400005825,2
1400005841,2
1400005904,2
1400040169,2
1400044207,4
1800024641,2
1800024647,2
1800025866,2
1800025867,2
1800027242,2
1800027299,2
1800113011,2
1800113017,2
1800113028,2
1800113033,2
2200014091,6
2200014097,2
2200014105,2
2200014112,2
2200014116,2
2200014123,2
2200014125,2
2600033576,2
2600067431,2
2600067437,2
2600067443,2
2600074764,2
3000027229,2
3000027278,2
3000064696,2
3000064721,4
3000064849,2
3000070042,2
3000070064,4
3000077708,4
3000079600,2
3000082916,2
3400039588,2
3400054730,2
3400060081,2
3400078254,2
3400078459,2
3400153990,4
3400214955,2
3400214963,2
3400225728,2
3400300362,2
3400302377,2
3400302379,2
3400302381,2
3400302383,2
3400302385,2
3400302387,2
3400302389,2
3400302390,2
3400302392,2
3400302396,2
3400302398,2
3400302399,2
3400302401,2
3400302403,2
3400302404,2
3400302406,2
3400302411,2
3400302413,2
3400302414,2
3400302416,2
3400302418,2
3400302431,2
3400302433,2
3400302435,2
3400302437,2
3400302439,2
3400302441,2
3400302442,2
3400302444,2
3400302446,2
3400302456,2
3400302458,2
3400302462,2
3400302464,2
3400302465,2
3400302467,2
3400302469,2
3400302470,2
3400302472,2
3400302474,2
3400302476,2
3400302477,2
3400302479,2
3400302486,2
3400302488,2
3400302490,2
3400302491,2
3400302493,2
3400302497,2
3400302501,2
3400302502,2
3400302504,2
3400302506,2
3400302508,2
3400302509,2
3400302511,2
3400302513,2
3400302515,2
3400302517,2
3400302519,2
3400302521,2
3400302527,2
3400302537,2
3400302539,2
3400302541,2
3400302542,2
3400302544,2
3400302546,2
3400302548,2
3400302549,2
3400302551,2
3400302553,2
3400302554,2
3400302556,2
3400302558,2
3400302559,2
3400302563,2
3400302567,2
