table,n_rows,n_pgm_sys_id,n_registry_id,pgm_sys_id_is_unique,n_registry_ids_shared,max_sources_per_registry,n_pgm_x_prog,pgm_x_prog_is_unique,n_duplicate_combos,n_combo,combo_is_unique,n_pgm_x_poll,pgm_x_poll_is_unique,n_activity_id,activity_id_is_unique,n_duplicate_activity_ids,n_enf_identifier,n_comp_det_uid
FACILITIES,279211,279211,265490,TRUE,8633,267,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PROGRAMS,456601,266744,NA,NA,NA,NA,456600,FALSE,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
PROGRAM_SUBPARTS,190570,89581,NA,NA,NA,NA,NA,NA,NA,190570,TRUE,NA,NA,NA,NA,NA,NA,NA
POLLUTANTS,976479,255748,NA,NA,NA,NA,NA,NA,90698,NA,NA,864426,FALSE,NA,NA,NA,NA,NA
FCES_PCES,1802044,150927,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1801418,FALSE,490,NA,NA
STACK_TESTS,646332,35603,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,646332,TRUE,NA,NA,NA
TITLEV_CERTS,2563435,24088,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,487215,FALSE,487215,NA,NA
FORMAL_ACTIONS,105656,37216,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,102745,FALSE,795,102745,NA
INFORMAL_ACTIONS,336410,60315,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,172154,FALSE,160638,172154,NA
VIOLATION_HISTORY,101147,35336,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,101147,TRUE,NA,NA,101147
