PGM_SYS_ID,POLLUTANT_CODE,n
020000000003605590,300000005,2
020000003400100104,300000047,2
020000003400100106,300000047,2
020000003400100108,300000047,2
020000003400100109,300000047,2
020000003400100123,300000323,2
020000003400100136,300000240,2
020000003400100137,300000240,2
020000003400100146,300000240,2
020000003400100146,300000322,2
020000003400180003,300000242,2
020000003400300203,300000323,2
020000003400300297,300000323,2
020000003400300313,300000240,2
020000003400300370,300000323,2
020000003400300388,300000243,2
020000003400300391,300000323,2
020000003400300444,300000240,2
020000003400300445,300000240,2
020000003400300453,300000240,2
020000003400300454,300000240,2
020000003400300455,300000240,2
020000003400300456,300000240,2
020000003400302500,300000047,2
020000003400310001,300000322,2
020000003400500097,300000243,2
020000003400500127,300000243,2
020000003400500129,300000243,2
020000003400500138,300000240,2
020000003400700108,300000243,2
020000003400700285,300000240,2
020000003400700290,300000240,2
020000003400700291,300000240,2
020000003400700292,300000240,2
020000003400700303,300000240,2
020000003400700377,300000240,2
020000003400700378,300000240,2
020000003400700379,300000240,2
020000003400700380,300000240,2
020000003400701000,300000074,2
020000003400703000,300000074,2
020000003400704000,300000074,2
020000003400799997,300000242,2
020000003400980002,300000242,2
020000003401100073,300000323,2
020000003401100076,300000323,2
020000003401100080,300000242,2
020000003401100299,300000323,2
020000003401300027,300000020,2
020000003401300027,300000023,2
020000003401300027,300000322,2
020000003401300244,300000323,2
020000003401300245,300000323,2
020000003401300336,300000243,2
020000003401300337,300000243,2
020000003401300388,300000243,2
020000003401300415,300000323,2
020000003401300447,300000240,2
020000003401300450,300000322,2
020000003401300451,300000243,2
020000003401300452,300000243,2
020000003401300453,300000330,2
020000003401300456,300000210,2
020000003401300457,300000240,2
020000003401300458,300000240,2
020000003401300459,300000240,2
020000003401300460,300000240,2
020000003401300461,300000240,2
020000003401300462,300000240,2
020000003401300463,300000240,2
020000003401300464,300000240,2
020000003401300465,300000240,2
020000003401305391,300000319,2
020000003401305391,300000329,2
020000003401310323,300000074,2
020000003401310324,300000074,2
020000003401310325,300000074,2
020000003401310326,300000074,2
020000003401310327,300000074,2
020000003401390055,300000331,2
020000003401399995,300000329,2
020000003401399996,300000329,2
020000003401399997,300000329,2
020000003401500386,300000240,2
020000003401700413,10461,2
020000003401700414,300000243,2
020000003401700416,300000243,2
020000003401700417,300000243,2
020000003401700418,300000243,2
020000003401700490,300000323,2
020000003401700525,300000240,2
020000003401700527,300000240,2
020000003401700528,300000240,2
020000003401700529,300000240,2
020000003401700530,300000240,2
020000003401700531,300000240,2
020000003401700532,300000240,2
020000003401700533,300000240,2
020000003401700534,300000243,2
020000003401700535,300000243,2
020000003401756433,300000074,2
020000003401756434,300000074,2
020000003401756435,300000074,2
020000003401756436,300000074,2
020000003401756437,300000074,2
020000003401756438,300000074,2
020000003401756439,300000074,2
020000003401900053,300000323,2
020000003402100077,300000243,2
020000003402100138,300000243,2
020000003402100152,300000243,2
020000003402300416,300000323,2
020000003402300419,300000323,2
020000003402300426,300000323,2
020000003402300469,300000074,2
020000003402300470,300000074,2
020000003402300471,300000074,2
020000003402300484,300000243,2
020000003402300486,300000243,2
020000003402300487,300000240,2
020000003402300488,300000240,2
020000003402300489,300000240,2
020000003402300490,300000240,2
020000003402300491,300000240,2
020000003402300492,300000240,2
020000003402300493,300000240,2
020000003402300494,300000240,2
020000003402300495,300000240,2
020000003402300496,300000002,2
020000003402500027,300000240,2
020000003402500139,300000243,2
020000003402500175,300000240,2
020000003402700120,300000074,2
020000003402700121,300000074,2
020000003402700122,300000074,2
020000003402700274,300000240,2
020000003402700275,300000240,2
020000003402700276,300000240,2
020000003402900114,300000240,2
020000003403100188,300000319,2
020000003403100332,300000240,2
020000003403100941,300000074,2
020000003403101260,300000319,2
020000003403111113,300000074,2
020000003403111115,300000074,2
020000003403111115,300000243,2
020000003403120000,300000243,2
020000003403150001,300000074,2
020000003403150002,300000074,2
020000003403150004,300000074,2
020000003403150005,300000074,2
020000003403156789,300000074,2
020000003403500030,300000323,2
020000003403500037,300000243,2
020000003403500043,300000243,2
020000003403500100,300000243,2
020000003403500117,300000330,2
020000003403500124,300000240,2
020000003403500125,300000240,2
020000003403599998,300000242,2
020000003403700027,300000322,2
020000003403700027,300000330,2
020000003403900024,300000323,2
020000003403900123,300000243,2
020000003403900267,300000243,2
020000003403900333,300000323,2
020000003403900358,300000240,2
020000003403900359,300000240,2
020000003403900360,300000240,2
020000003403900361,300000243,2
020000003403910328,300000074,2
020000003403911122,300000319,2
020000003403980045,300000242,2
020000003404100025,300000243,2
020000003404100030,300000243,2
0200000036005SY007,300000240,2
0200000036013EE001,300000234,2
0200000036013EE001,300000282,2
0200000036013EE002,300000282,2
0200000036013EE003,300000234,2
0200000036013EE003,300000282,2
020000003601500060,300000240,2
020000003601580000,10193,2
020000003601580000,300000282,2
020000003601580001,10193,2
020000003601580001,300000282,2
020000003601590011,300000322,2
020000003601590012,300000329,2
0200000036015EE006,300000282,2
020000003602990118,10193,2
020000003602990118,300000282,2
020000003602990118,300000319,2
020000003603799990,300000298,2
020000003604700968,300000240,2
020000003604701039,300000240,2
020000003604799888,300000240,2
0200000036047SY004,300000240,2
0200000036047SY005,300000240,2
0200000036047SY006,300000240,2
0200000036053R7956,300000329,2
020000003605900425,300000240,2
020000003605900426,300000240,2
0200000036059SY008,300000240,2
020000003606100432,300000236,2
020000003606100586,300000074,2
020000003606190010,300000074,2
020000003606190010,300000329,2
020000003606190028,300000074,2
020000003606190030,300000074,2
020000003606190031,300000074,2
020000003606190032,300000074,2
020000003606198666,10193,2
020000003606198666,300000322,2
020000003606390040,300000234,2
020000003606390041,300000240,2
020000003606390042,300000282,2
020000003606501000,10461,3
020000003606501000,300000282,2
020000003606700285,300000240,2
020000003608500191,300000240,2
020000003608598777,300000240,2
0200000036085SY001,300000240,2
0200000036085SY002,300000240,2
0200000036085SY003,300000240,2
0200000036101EE005,300000282,2
0200000036103LIERE,300000329,2
02000110006868906,300000282,2
02000110006868979,300000240,2
02000110007809611,300000282,2
03000MD00005,300000242,2
03000PA00012,300000329,2
040000001201140093,300000240,2
040000001201140094,300000240,2
040000001201140095,300000240,2
040000001201140096,300000240,2
040000001201140097,300000240,2
040000001201140098,300000240,2
040000001201140099,300000240,2
040000001201140100,300000240,2
040000001201140101,300000240,2
040000001201140102,300000240,2
040000001201140103,300000240,2
040000001201140104,300000240,2
040000001201140105,300000240,2
040000001201140106,300000240,2
040000001201140107,300000240,2
040000001201140108,300000240,2
040000001201140110,300000240,2
040000001201140111,300000240,2
040000001201140112,300000240,2
040000001201140113,300000240,2
040000001201140114,300000240,2
040000001201140115,300000240,2
040000001201140116,300000240,2
040000001201140117,300000240,2
040000001201140118,300000240,2
040000001201140119,300000240,2
040000001201140120,300000240,2
040000001201140121,300000240,2
040000001201140122,300000240,2
040000001201140123,300000240,2
040000001201140124,300000240,2
040000001201140126,300000240,2
040000001201140128,300000240,2
040000001201140129,300000240,2
040000001201140130,300000240,2
040000001201140131,300000240,2
040000001201140132,300000240,2
040000001201140134,300000240,2
040000001201140135,300000240,2
040000001201140137,300000240,2
040000001201140138,300000240,2
040000001201140139,300000240,2
040000001201140140,300000240,2
040000001201140141,300000240,2
040000001201140142,300000240,2
040000001201140143,300000240,2
040000001201140144,300000240,2
040000001201140145,300000240,2
040000001201140146,300000240,2
040000001201140147,300000240,2
040000001201140148,300000240,2
040000001201140149,300000240,2
040000001201140151,300000240,2
040000001201140152,300000240,2
040000001201149997,300000240,2
040000001201540050,300000240,2
040000001201540051,300000240,2
040000001201540053,300000240,2
040000001201540054,300000240,2
040000001201540055,300000240,2
040000001201540056,300000240,2
040000001201540057,300000240,2
040000001201540058,300000240,2
040000001201540065,300000240,2
040000001201540085,300000240,2
040000001201540086,300000240,2
040000001201540087,300000240,2
040000001201540088,300000240,2
040000001201540089,300000240,2
040000001201540090,300000240,2
040000001201540091,300000240,2
040000001201540092,300000240,2
040000001203140153,300000240,2
040000001203140154,300000240,2
040000001203140155,300000240,2
040000001203140157,300000240,2
040000001203140158,300000240,2
040000001203140159,300000240,2
040000001203140160,300000240,2
040000001203140161,300000240,2
040000001203140162,300000240,2
040000001203140163,300000240,2
040000001203140164,300000240,2
040000001203140165,300000240,2
040000001203140166,300000240,2
040000001203140167,300000240,2
040000001205740168,300000240,2
040000001205740169,300000240,2
040000001205740170,300000240,2
040000001205740171,300000240,2
040000001205740172,300000240,2
040000001205740173,300000240,2
040000001205740174,300000240,2
040000001205740175,300000240,2
040000001205740176,300000240,2
040000001205740177,300000240,2
040000001205740178,300000240,2
040000001205740183,300000240,2
040000001205740184,300000240,2
040000001205740185,300000240,2
040000001205740187,300000240,2
040000001205740188,300000240,2
040000001205740189,300000240,2
040000001205740190,300000240,2
040000001205740192,300000240,2
040000001205740193,300000240,2
0400000012081EPA02,300000330,2
040000001209940059,300000240,2
040000001209940060,300000240,2
040000001209940061,300000240,2
040000001209940062,300000240,2
040000001209940063,300000240,2
040000001209940064,300000240,2
040000001209940066,300000240,2
040000001209940067,300000240,2
040000001209940068,300000240,2
040000001209940069,300000240,2
040000001209940070,300000240,2
040000001209940071,300000240,2
040000001209940072,300000240,2
040000001209940073,300000240,2
040000001209940074,300000240,2
040000001209940075,300000240,2
040000001209940076,300000240,2
040000001209940077,300000240,2
040000001209940078,300000240,2
040000001209940079,300000240,2
040000001209940080,300000240,2
040000001209940081,300000240,2
040000001209940082,300000240,2
040000001209940083,300000240,2
040000001209940084,300000240,2
040000001210540179,300000240,2
040000001210540180,300000240,2
040000001210540181,300000240,2
040000001210540182,300000240,2
04000EPAKY111,300000330,2
04000EPATESTFACIL,300000377,2
0500000018061R0001,300000010,2
0500000018097R0005,300000240,2
0500000018097R0006,300000240,2
0500000026055R0002,300000243,2
0500000026055R0002,300000322,2
0500000026099R0014,300000291,2
0500000026125R0028,300000291,2
0500000026125R0036,300000240,2
0500000026125R0037,300000240,2
0500000026139R0002,300000291,2
0500000026161R0009,300000240,2
0500000026163R0112,300000240,2
0500000026163R0113,300000240,2
0500000027037R0003,300000291,2
0500000027037R0004,300000291,2
0500000027037R0005,300000291,2
0500000027053R0015,300000291,2
0500000027053R0016,300000291,2
0500000027053R0017,300000291,2
0500000027053R0018,300000291,2
0500000027053R0020,300000240,2
0500000027053R0021,300000240,2
0500000027053R0022,300000240,2
